,title,content,date
0,"
This is the R5 1600 12nm refresh!
","

  The original R5 1600 release in 2017 was the 14nm process. This is a refresh based on the Zen+ 12nm process, aka the 2xxx series. This processor can be Oc'd quite well and will perfrom on par with a 2600/x depending on OC. This is a steal for this price/performance ratio.//Update: I've been running at 4Ghz for the last week with no issues, this is amazing price/perf ratio

","Reviewed in the United States on December 13, 2019"
1,"
As confirmed by others, this is the 12nm refresh of the R5 1600, and well worth it!
","

  The good:  12nm refresh of the R5 1600.  A little confusing at first, as I hadn't heard about any such thing, only on researching the part number (YD1600BBAFBOX... note the F in the 4th to last character rather than E), did I eventually find information about this (along with another reviewer's posting here)The bad: not even really that bad, but, considering that this revision of the CPU is closer to being a slightly lower-clocked 2600, versus an original 14nm version of the 1600, it comes with the Wraith Stealth cooler (as does the 2600), rather than the Wraith Spire.  Just a little puzzling at first, and a minor nitpick, as the Stealth is easily adequate for this CPUs needs.I've only had it installed for a few days now, but am very happy with it - an excellent deal for a better-than-expected processor.

","Reviewed in the United States on January 7, 2020"
2,"
Wow! A Ryzen 5 1600 Zen+?!
","

  This is def a Zen+ refresh at 12nm. I did a review on it on YouTube sharing my experience under the same username here. One thing to note is that Ryzen Master software doesn't seem to work with it as it says it is an unsupported chip, but it is legit and works just a hair under the Ryzen 5 2600 performance. The price and performance is amazing! So amazing, I bought a second one! :)UPDATE: Ryzen Mastee software works just fine. If you have a previous Ryzen chip, you just need to uninstall it and reinstall and you’re set.

","Reviewed in the United States on December 13, 2019"
3,"
Best bang for the buck
","

  Also got the updated 12nm design heck of a deal here.

","Reviewed in the United States on December 29, 2019"
4,"
Great chip
","

  Can confirm I received a 12nm version as well. Runs like a champ so far. What a deal.

","Reviewed in the United States on January 3, 2020"
5,"
This is not exactly a 1600 and isn't quite a 2600, but it is a 6 core Ryzen plus ...
","

  This is a 2nd generation Ryzen plus CPU sold in a box indicating it is a first generation Ryzen CPU. It uses the Ryzen Plus 12 nm chipset and identifies as Pinnacle Ridge (which is Ryzen Plus). Mine varies in speed between 2900 and 3600 Mhz. It is likely this will vary by customer, case and random chance with respect to how good the silicon the CPU really is.It appears AMD is selling these as they may not qualify for sale as Ryzen 2600's due to clock issues (they clock a bit slower more or less). They do clock faster than 1600's. Overall for $85 at this time (early 2020) this is the most powerful CPU at this price point ( under $100).If you want a place holder, or just a decent Ryzen Plus at an amazingly good price this is a good purchase. It  will not outperform a Ryzen 3, or even a Ryzen Plus 2600. It will nearly match a Ryzen Plus 2600 though. This CPU, $50 for RAM and $80 for a motherboard, and you can have a Ryzen Plus upgrade for $215. This isn't intended to overclock much, you may get it to overclock a little. For moderate needs, this is a wonderful product.

","Reviewed in the United States on December 27, 2019"
6,"
Cheap super good processor
","

  Good processor. Cheap entry level and 6 cores 12 threads. Love the am4 socket future proof because socket has many upgrade paths. I've always loved AMD products but even here at the entry level you can build a banging pc

","Reviewed in the United States on December 21, 2019"
7,"
It's truly a 2nd gen Zen+ 12nm part. Code named ""Pinnacle Ridge"" under CPUz.
","

  Update Feb 14th : I just bought two more of these and pairing them with Amazon Warehouse Tomahawk B450 boards($76 a piece). I decided to sell my old Sandybridge cpu/board/ram and would even upgrade my kids hand me down PC's to these as the price isn't that much considering I get about $80-100 for each of my old hardware setups. What those systems do overclocked with more watts and temps, this does effortlessly stock , cool and quiet. I am a bang for the buck shopper with 7 PC's around the house , so these 1600AF can someday replace my Intel Dual core setups.I recently upgraded my Sandybridge 8yr old 4.7ghz i7 with a 2700x for $136 after cash back from Amazon card(Thanks Tech Deals youtube channel). I liked the upgrade so much that I also wanted a similar feel for 1 of my MediaPC's that I run a GTX970 in. Figured this 1600AF would likely be a great value for a budget HD/4k TV gaming setup. I just finished installing it and I ran a benchmark on my 2700x and then dropped in the 1600AF all stock settings with 3200mhz C16. Without changing a thing except CPU, both runs showed my GTX1070 is 99% GPU bound under ""The Shadow of the Tomb Raider"" benchmark. I know lower detail would help show performance differences in the CPU but for my quick test I am very pleased with the performance at stock. No difference than my 2700x. Max temp is 34c with a Noctua 14 cooler. I will soon move this 1600AF CPU/MB/RAM over to the Media PC case with Prism RGB cooler from my 2700x purchase.(update it's running great as the MediaPC, cool,quiet and smooth) Loving this value. Check out my attached screenshots of afterburner CPU utilization and benchmark results. Hope this helps someone!

","Reviewed in the United States on January 3, 2020"
8,"
1600 AF is the CPU Value King!
","

  Like a lot of others have said, this is the AF version of this CPU, which means a 12nm node with Zen+ updates. This is basically an underclocked Ryzen 5 2600. Gamer's Nexus did a really good YouTube video on this CPU if you are interested in the more technical details.My personal experience is using this with an ASUS Strix B450-F Gaming motherboard and a Fractal Design Celsius S24 AIO cooler. This booted no problem with my motherboard. After doing some initial stress tests to make sure it was stable and everything was working ok, I went back to the BIOS to overclock it.Also, I should note that I did not do a fresh install of my OS after swapping CPUs. I run Windows 10 with whatever the current update is as of Jan 2020. On intial boot, my WiFi was disabled, but I had already loaded the chipset drivers onto a USB drive. I installed the chipset driver, rebooted, and everything was more or less back to normal. I did show all my hidden devices in Device Manager, then went through and removed everything related to my old CPU and old Motherboard. Not really sure that was needed, but it's what I did. Windows did not seem to mind at all, and it is still showing up as activated.I was able to hit 4.0 GHz pretty easily. All I did was change the multiplier from Auto to 40, and TPU from Auto to TPU II. Rebooted and stress tested again, rock solid at 4.0 GHz with occasional single core boosts to 4.4 GHz and multi core boosts to 4.2 GHz. Note that I did not use PBO or really anything else to do this.Temperatures while testing never went above 50c. The interesting part about that is my AIO has a hardware based auto mode that seems to throttle the fans independently of the motherboard. The fans never really seemed to ramp up to maintain the 50c temperature.One other thing I wanted to note was a comparison to my old processor, an Intel 4790k running at stock speeds. I lost the silicon lottery with that CPU, and it would never really OC past 4.4 GHz without running up the voltage quite a bit, to the point where the CPU was running very hot. However, it would undervolt pretty well while running at stock speeds, so I just ran it undervolted for about 5 years. Setup like this, it would run at around 70-77c with the same cooler, and the fans were working much harder.The R5 1600AF runs most of my games with a few more frames at the top end and average (maybe 5-10 depending on the game). However, my low frames and perceived smoothness is night and day. I am easily gaining 10-30 frames on the low end. The desktop also feels a lot snappier.So overall, I am happy. While I didn't gain an amazing FPS boost, my PC is much quieter and my experience is much better. If I did any actual productivity work, I would probably notice even more of a difference. For $85, I am thrilled with this processor. Easily the best CPU I have ever purchased.

","Reviewed in the United States on December 6, 2019"
9,"
Got practically a 2600x with an overclock
","

  Best chip at this price point, totally leveling the competition(even internally) . These chip are 12nm dies, and perform right below at 2600. With an overclock you easily can raise clocks to 2600 levels, and a lot of people are getting 4-4.1ghz in the 1.3v range, though there are still some that canonly do 3.8-3.9 so don't expect that from all. Seems like at least some of these batches are valid 6 core dies binned straight to the 1600, instead of being dies that didn't make the 2600 bins cut. Lot of variance, which you really don't see with most amd. Many of these chips could of made the bin for 2600/2600x it seems.Even at stock these chips are a great buy, but for enthusiast or anyone wanting to take some time to overclock they really shine even more price wise. Hearkens back to the days when you were able to overclock and get the performance of a better chip that was x2 the price.Mine does 4.1ghz @ 1.325v 3533mem(1.175vSoc)  can also do 4.2 @ 1.38-1.39

","Reviewed in the United States on January 9, 2020"
10,"
Great ryzen cpu on a budget. Buy this, and a better graphics card!
","


  Your browser does not support HTML5 video.


   I have always been an intel guy. I have had this spu for 2 days and tonight is the first I am testing it out. I ran metro exodus on high settings maxed out paired with 16gb patriot viper ram at 3200mhz. Asus rog vega 56 8gb graphics card and m2. Mvme 512 gb hard drive.Its pretty peppy. 6 cores, can do 4gz. I have stock cooler now, but have an arctic cooling 240mm cooler to put in.This deal made me finally build a new computer. I came from an ivy bridge i5 3570. That still is a good cpu but 8gigs of ram wasnt great.Ryzen 1600af(2600)Msi b450 gaming pro carbon mobo16 gb patriot ddr4 3200mhzAsus rog 8gb vega 54512 gb m.2 mvme hard drive.Nzxt h510i case.Corsiar 550watt psuStock cooler is actually ok. If I was to leave it overclocked I would( am anyways) swap out cooler.

","Reviewed in the United States on December 13, 2019"
11,"
The best value CPU on the USA market.
","

  I know not every country has this CPU, but if yours does I say snatch one up. It's 12 nm and at stock uses less power than a regular 1600 and the 2600. Overclocked a lot of these CPUs can match a 2600X. I recommend this CPU for office PCs, productivity tasks and gaming. If you're looking for a cheap 1080p gaming rig pair this with a RX 570 4gb and you're set without hitting any CPU bottlenecks, if you're doing 4K gaming use the difference you save on this CPU and buy a RX 5700 XT(at 4K you're mostly going to be GPU bottlenecked), but if you're looking for super fast productivity results and/or high refresh FPS gaming in my opinion this isn't the CPU for you.Paired with a B450 motherboard and a RX 570 4gb your have a bargain PC :).

","Reviewed in the United States on January 7, 2020"
12,"
Bought two, one runs 4.0 the other 4.2
","

  12nm refresh overclocks better than 14 nm. Bought one when they first were offered, That one runs 4.2 @ 1.288 vcore 24 hours current build prime 95 75C max in 75F room using Noctua NH D15 SE-AM4. Second I bought few weeks back runs 4.0 @ 1.288 vcore same cooler and results in temps a few degrees lower. Stock out of the box it ran all 6 cores at 3.7 ghz turbo which is pretty fast and sipped current for 12nm. Both in MSI x470 Gaming Plus motherboards running single rank 2X8GB @ 2933 (Samsung B die Vengeance lpx). Excellent deal at stock speeds, even better deal if yours overclocks.......bye bye Intel.

","Reviewed in the United States on January 12, 2020"
13,"
DOA
","

  Dead on arrival. Mobo ez debug cpu led was lit. Reseated it and tried only one stick of ram, and it refused to POST. Return policy is bad, taking a restocking fee even though the product is defective.

","Reviewed in the United States on January 8, 2020"
14,"
AMD Delivers!
","

  Once again AMD shines. Great product right out of the box with no issues. And for $85, you can’t go wrong with this product.

","Reviewed in the United States on March 27, 2020"
15,"
Best Bang for the Buck I've ever seen, quite a hidden gem!
","

  This ""1600"" AF is basically a down clocked 2600. You can use the stock cooler in an extreme budget machine, or throw any descent tower cooler or AIO in it to get it to 4.0 to 4.2Ghz pretty easily.I built an extreme budget gaming machine with this chip and the Gigabyte B450 $50 special and a GTX 970 Master X. Since you can get GTX 970 cards for around $100 on the used market these days, this build is pretty easy to replicate, and is very capable of playing just about anything at Medium to High settings at 1080p.Need a budget photo/video editing machine? It's great for that!Need a budget HTPC? It's great for that!In fact, I can't thing of a scenario where this chip wouldn't be great for it's price.

","Reviewed in the United States on January 7, 2020"
16,"
Ryzen 6 core, 12 thread Zen 2, 12NM banger!
","

  This is a great CPU for the price. 6 core, 12 thread and 2000 series performance for 85 bucks.Pair this with a mid grade graphics card and you will have a great gamer PC for such a great price.If you want to know more go to youtube and search for 1600 AF review by gamers nexus.AMD is killing it right now. Intel who?

","Reviewed in the United States on December 5, 2019"
17,"
Maybe the best CPU under $100 MSRP ever!
","

  The bang for the buck you get with this CPU is insane. This basically has 95% of the performance of the Ryzen 5 2600 at 75% of the total cost (overclock this, and it will get practically identical performance). 6 cores, 12 threads for $85?! Tell that to me just a few years ago and I would laugh at how unbelievable that sounds. This is such a great time to build a budget gaming PC. I don't see why you would go for any other CPU under $100 unless you absolutely need integrated graphics for a low budget, non-gaming build.I have this paired up with a used RX 580 I bought for ~$100 and I am able to greatly handle nearly every game I can throw at it at 1080p, medium-high settings. My GPU hits 100% usage while the CPU usage can be anywhere between just 20-50%. This is an awesome budget CPU.

","Reviewed in the United States on January 20, 2020"
18,"
Amazing value
","

  Bought this just for fun. I originally thought it was a worse binned Ryzen 5 2600, but mine can run all core 4.1GHz @1.3125V. After the overclock its cinebench score is near that of Ryzen 7 1700. I could push higher and it should be able to run at 4.2GHz all core under safe voltage, but this is already a surprisingly impressive result. Amazing performance with such a low price tag.

","Reviewed in the United States on January 6, 2020"
19,"
4.3Ghz @1.4 on the 12nm refresh
","

  Well I do not recommend you run 4.3 at 1.4 volts I was able to get it stable at 1.28v @ 4.0 also running Trident z neo 3600 kit CL 16 and the xmp worked the first time. This is a fantastic CPU to play with if you want to overclock and mess with settings to find out what works and what doesn't work... well this is the CPU for you and $85 it's a bargain.

","Reviewed in the United States on January 19, 2020"
20,"
Ryzen 5 1600 AF!
","

  This is the updated version of the Ryzen 5 1600, absolutely the best value you can get (right now)! This is my 5th ryzen cpu, I've owned the following: Ryzen 5 1400, Ryzen 3 2200G, Ryzen 7 1700X, Ryzen 5 3600 (my favorite), and this Ryzen 5 1600.  I bought it to replace the Ryzen 3 2200G that I was temporarily using in my Living Room / VR mini PC and it's absolutely perfect.  It performs on par with the Ryzen 5 2600 since it uses the updated architecture, but only costs $85 (at launch)!I've paired it with a GTX 1070, 16 GB RAM, and using the stock cooler it runs all the VR that I throw at it in VR quite well - and yes, it can handle Half Life: Alyx :)  I'd recommend this cpu for gaming above any other unless you can afford the jump to the Ryzen 5 3600.  If you are building a bang-for-your-buck system, this 5 1600 AF is absolutely perfect.

","Reviewed in the United States on December 13, 2019"
21,"
At 85 bucks, this thing is a STEAL
","

  Don't buy this at inflated prices. There are better options above 85 bucks, but if you can get it at the regular price, it is a BEAST for the money. I currently have it in a traveling VR system that houses a GTX 980, and can play HL Alyx, along with Beat Saber, and a bunch of other fun games swimmingly. I have the Noctua L9a cooler on it, and this thing just sips power, it keeps it nice and cool with 0 issues.

","Reviewed in the United States on January 7, 2020"
22,"
best value cpu
","

  i bought this in hopes of having more fps in games i play with with my 580 in rust i seem to get 30 fps max. i came from a 3770 clocked to 3.7 all cores. i have this puppy on a asrock b450 pro4 motherboard overclocked to 4.1 at 1.31 volts. i say i got a got golden chip overclock may vary but alot of people at least getting 4ghz all cores.

","Reviewed in the United States on March 29, 2020"
23,"
Shame the scalpers are ruining this CPU
","

  At the time of this review (5/19/2020), This CPU is at roughly $150.00, due to some scalpers doing huge markups. i got mine at $85.00, A value then, unfortunately not right now. If the price drops back to $85.00, get it. If not, better off getting the 3600, at $172.00. I wish i could give an honest better review of the current, but i can'tThat said, i got mine in December and finally got the pieces together to finish my build, Along with the 1600 i have an Asrock B450m/ag MB and Timetec 2666mhz 16 gb (2x8 sticks). This along with my existing GPU and power supply are a great combo. I have it currently at 3.7 all core overclock on the stock cooler and no problems. Excellent processor for budget systems, if the price went back to the $85.00

","Reviewed in the United States on May 12, 2020"
24,"
Great
","

  Upgraded to this from a Ryzen 3 2200G (4c/4t). Any bottlenecks I had while gaming were instantly alleviated. Music and video rendering speeds improved dramatically. Everything is now just... better.Since this is the new AF revision, you can overclock this to 2600 speeds or even better; I’ve got mine stable at 4.15Ghz @ 1.375V. But ONLY attempt with an aftermarket cooler. I couldn’t pass 4Ghz on the included Wraith Stealth because things would get too hot. It’s fine for stock speeds, though.

","Reviewed in the United States on January 19, 2020"
25,"
Great CPU
","

  Great little CPU. I usually use my laptop for the majority of the time, and running a R5 in that I decided to upgrade the home PC to this century. I went from an A10 series with DDR3 to this and a new Mobo with DDR4 for a total cost of $280 and the difference is night and day. Benchmark scores went from being in the top 80 percentile to top 10 for this year and generally this series Ryzen appears somewhere between the 7th gen i7s and the current gen i5's and as of now (6/20) two years after manufacture, the Ryzen 5 1600 STILL sits at #7 for best processor for power and price. As a bonus I found it mated well with all the components within the system and handles a moderate OC of 3.8Ghz @ standard voltage 24/7. I am going to build another system based off of the Ryzen line and give this one to my son as AMD has proven it's salt recently and I can't wait to give the thread rippers a go. Great job AMD

","Reviewed in the United States on May 19, 2020"
26,"
This is hands down a SOLID bargain chip for EVERYONE!
","

  Honestly I am just floored with how much I love this CPU! My PC just feels snappy, it runs everything I throw at it. I can't believe that I have 6 cores and 12 threads in a BUDGET gaming PC! I'm only running it stock so the Wraith Stealth cooler it comes with is more than sufficient. It stays under 45c most of the time, and 65-75c while gaming. I have played some major titles such as Shadow of the Tomb Raider, Star Wars the Fallen Order, and a few others and it really stays cool. I've also tested HEVC videos and they play flawless, which surprisingly is something my old i7 4770k couldn't do. Plus this processor is only 65 watts which is practically half the power of that 4770k which I had overclocked.I just can't say it enough, I'm VERY happy with this processor! Great job AMD!

","Reviewed in the United States on January 14, 2020"
