,title,content,date
0,"
Fantastic chip, outperforms the $489 i9 9900k in productivity.
","

  This chip is a beast! Was able to snag mine from 'AMD authorized reseller'. Came in 1 day when it was estimated to take 3. This thing blows everything out of the water at this price point. On par with the intel 9700k in gaming for $70 less, and better than the $489 i9 9900k in productivity and multitasking. First time buying an AMD chip but with their recent innovations its hard to justify buying Intel.

","Reviewed in the United States on July 15, 2019"
1,"
No point in buying a 3800x
","

  TL;DR:  Really good and stable processor for all around workloads and gaming.  Still has a good stock stable boost clock of about 4.2GHz with a good cooler about the same as the 3800x without the extra $$$.  Be care full of the Motherboard you buy as it may be troublesome updating the bios on x470 and lower boards to support the 3rd generation of AMD Processors.Full Read:For gaming I see this baby stay stable clocks at 4291-4316MHz and sporadic single core turbos up to 4392MHz.  The 4.2 ghz all core stable boost clock is about the same as a 3800x (according to other reviewers) but the 3800x has a bit more of a higher single core sporadic burst, but probably not worth the additional $70 for the tiny performance difference. I have a Phanteks PH-TC14PE (nh-d15 comparable) and during a 30 minute Aida 64 stress test (picture) the 3700x stays at 85c and 4070MHz average.This processor is paired with a 570x Aorus elite so I wouldn't have the trouble of doing tons of CPU swapping on a b450 or an x470 board to update the bios (plus I saved $70 over the 3800x). Some of  those boards have quick flash capabilities, but if they don't then it is just time consuming and a bit painful to install an old 2nd or 1st gen cpu, update, then reinstall the new processor and make sure it actually works.  Also as of 5/20/19 a bunch of Ryzen 3xxx out of the box compatible B450 boards are announced, but nobody knows when.I did a motherboard & CPU Swap in my system and had a lag filled windows experience, so a windows reinstall was necessary to get it to run smoothly (your actual experience may vary).  After the reinstall it's been nothing but buttery smooth.

","Reviewed in the United States on July 25, 2019"
2,"
Achievement Unlocked!
","

  Thank You Dr. Lisa Su. Getting 12000 hashrate in RandomX.Which is 10 times the amount of my Intel 6700k.

","Reviewed in the United States on July 15, 2019"
3,"
It needs some tweaking
","

  I'm happy to see that it's finally in stock at MSRP. I got the 3700x to replace a 6700k system which broke. The ASUS GENE VIII motherboard failed. So it was time for an upgrade and go back to AMD. Last AMD part I had was the AMD FX-8350 back in 2012. The 3700x seems to work just fine, cinebench 15 score when from 850 to 2145, so that's a thing.Edit: 7/30/2019I'm docking 2 stars. The chip is great and all, but it runs too hot at idle, 40+ C on an aio, 24 C ambient.I'm comfortable having my pc run hot during games, etc.., but not at idle.At idle the system keeps boosting to 4.2+ Ghz all the time.It's like it doesn't know how to clock itself down (even on AMD balanced profile, latest Win 10 1903).Disabling boost solves the temp issue, but that's not an option.This is probably the early adopter tax and I hope they fix it in the bios.It could also be the ASUS board which is too aggressive with voltages.Edit: 7/31/2019+1 star, Windows power saver power plan is what I wanted.Idles at 32 C at 25 C ambient, core voltage a 0.944 V instead of that crazy 1.45+ VI does sacrifice some standby performance, but that's ok.Edit: 9/16/2019+1 star, the ABBA bios update fixed my idle power problem.It just needed some tweaking.

","Reviewed in the United States on July 20, 2019"
4,"
uuuuuhhh
","

  Coming from an fx 8120 (with a88 chipset) I can say, this thing is huuuUUUUUUuuuggeeeeI mostly work with docker in debian, inside a vme in windows, and I'm bewildered with the performance, nothing seems to make it run at %100, I never hear the fans ramping up and it increased the avergae fps in gw2 from 25 to 52 (paired with a 1060, at 3440x1440)I wanted to get the 3900x for the glorious cache, I see no reason to make the jump at this point.

","Reviewed in the United States on July 15, 2019"
5,"
Amazing CPU!
","

  This CPU made a huge difference in gaming coming from a R5 1600 OC 3.8ghz. There is absolutely no reason to overclock as it boosts itself as much as it can. Hit 4250mhz all core on BF V on a Gigabyte AX-370 Gaming K5 with BIOS update (while the new board is in shipping). With a Corsair H100i v2 max temp under full load was 80c, normally around 65c in demanding games. FPS in games went up by roughly 30 letting my 2070 hit 144 consistently with 0 dips.

","Reviewed in the United States on July 20, 2019"
6,"
Affordable Intel-Killer!
","

  Not only does this CPU absolutely blow Intel's current line-up out of the water, it also has the product quality to show for it. I never thought I'd hear myself say it but I'm a firm believer in AMD and what the Zen chips are accomplishing here after seeing it for myself. This CPU is currently tackling Star Citizen on one front and streaming on the other end, all while unzipping some files and keeping up with everything else that demands it. Not only is it running fairly well it's also keeping stable temperature wise. Under full load the temps average at around 65c-70c and that's just running the stock Wraith Prism cooler.Definitely eager to test out this chip with a water cooler slapped onto it and a slight OC to kick it into high-gear. All in all I really can't complain for what I've received. It's an affordable processor that'll do just about anything for you without much trouble and still have room for more. Don't worry about paying ""premium"" pricing for ""top of the line"" and ""state of the art"" CPUs when you can get all of that here for less, with more!

","Reviewed in the United States on July 18, 2019"
7,"
Great CPU
","

  Amazing CPU! Bought it from the authorized AMD reseller and had no issues. Superior performance in games and benchmarks. Highly recommended!

","Reviewed in the United States on July 21, 2019"
8,"
New Build not a Value
","

  If you are upgrading an old build this may be fine but when building a new computer the latest x570 chipset is buggy and the x470 chipset motherboards ship with older bios that require an update to use this cpu.  The time and cost to take a cpu from an existing computer is also going to eat up any perceived value in these brand new chips that only work in the buggy new motherboards. Very few x470 motherboards support the bios update without a cpu - Asus has ONE.  I made the mistake of reading some stories that downplayed the issue and assumed that I could work around it.  Stupid me - don't be stupid too.  Who keeps a new CPU lying around?

","Reviewed in the United States on July 22, 2019"
9,"
RIP Intel!
","

  i'm coming from 3770k OCed to 4.5 Ghz, before that i had Q6600 also Oced, last AMD cpu i owned was back in 2003 when AMD Athlon x64 was the king.fast forward 15 years, AMD IS BACK!!!you would be a no brainer to buy intel when you have such a great CPU from AMD, this crushes everything i throw at it and it costs 40% less than the i9 9900k.some folks might argue that Intel still has the lead in gaming, well i game at 1440p, so the gap is not that big, even at 1080p, intel is like 10% faster, thats 10 FPS for 100 FPS, who cares about the 10 FPS if you are getting 100 FPS?!?now for 1440p, its like 4%-5% FPS win for intel which is a trivial amount to look at when considering what you are getting in return from this CPU.Last, memory support is working magically with the new Ryzen 3000 CPUs, the compatibility with higher frequencies has enhanced alot, i had trouble making it post at 3600 Mhz RAM, but i had yet to discover that you need to install the RAM modules into specific slots for better compatibility, SO MAKE SURE TO INSTALL YOUR RAM INTO THE SLOTS MENTIONED IN YOUR MB MANUAL, otherwise the system will fail to post if memory is more than 3000/3200 even if the memory itself has faster frequency.i was able to stretch the timings of the memory to 16-18-19-36 from 18-22-22-42 which gave a nice performance boost as well.For reference here is my full system specs:Asus Rog Strix X570 Gaming-FAsus Rog Strix Geforce 1080Ti OC16 GB (2x8) G.Skill Tridentz Royal 3600 Mhz CL18 (This is Hynix CJR Die not Samsung B-Die and it performs well)Cooler Master ML240R RGB AIOSamsung 970 Evo Plus PCIe NVME1000W EVGA PSU2 SSDs and 3 HDDsCooler Master Cosmos C700M Case

","Reviewed in the United States on July 17, 2019"
10,"
✝️✝️✝️ He has Ryzen ✝️✝️✝️
","

  The heavens looked down upon on us mere mortals and proclaimed ""I have given you my only computer architecture. Embrace it, for this is your only savior in the realm of hardcore PC gaming""What can I say, this thing is amazing. My updated X470 was able to see it no problem. Power usage is down significantly over my previous 2700 (using that processor for a rig I'm building for my little bro). No need to overclock, as the 3000 series pretty much works like GPU Boost, but for CPU's. It will basically push itself to the max based on cooling. With an H55 cooler and Prime95, I was hitting about 80 C°, which is perfectly in-line of what a CPU can handle.Basically, AMD is back on top. Zen 2 is the architecture that will save us all from the clutches of overpricing and minimal IPC gains. All hail glorious Zen 2, the true KING OF KINGS!!!

","Reviewed in the United States on July 15, 2019"
11,"
As expected really!
","

  My review is less about the processor, which as you'd expect is a great improvement and upgrade on the previous generation... and more about how you really do need to buy these things from a retailer like Amazon - we ordered a processor which arrived in 2 days, we installed, and it didn't work. The return process was so no-fuss and easy - another 2 days later I had a new processor in hand, the old one picked up for free, and we have installed this one and it runs perfectly!Say what you like about Amazon, but they sure do know how to offer free and easy returns!

","Reviewed in the United States on July 25, 2019"
12,"
Never looking back at Intel
","

  I am amazed at how well this chip performs. I have been buying Intel cpus for years, but with AMD delivering this level at this price. Money talks.

","Reviewed in the United States on July 22, 2019"
