,title,content,date
0,"
Holy crap, this thing's fast
","

  Holy crap, this thing's fast. I upgraded from a 4 core I7 Intel processor. My old rig couldn't keep up with editing 4K video without badly stuttering. This thing does 4K previews with transitions and effects at something like 20% CPU utilization. I did mate it with a killer graphics card (ASUS ROG-STRIX-GTX1080TI 11GB), but this CPU deserves the best! I'm not an overclocker, so I'm not pushing the limits, but I suspect this thing has enough horsepower for anything without overclocking.I had never built a water cooled rig before, but it was pretty straightforward. I used an all in one NZXT Kraken X52 and it works fine.For the motherboard, I used a ASRock X399 Professional Gaming board, populated it with 64 GB in four 16 GB DDR4 2400 ECC Kingston Valueram. I like the fact that AMD allows this ""consumer"" CPU the ability to use ECC RAM, unlike Intel which now requires the use of the ""server"" chips if you want to use ECC.The only integration glitch I had was installing Windows 10 - I had to disable the IOMMU option in the BIOS (I think it was buried in the Northbridge or Southbridge sub menu).

","Reviewed in the United States on September 25, 2017"
1,"
Unbelievably good performance and price. Perfect for high-end DCC applications
","

  I have to admit, I'm completely blown away. I've hand-built 30+ PCs in my life, and every single one was Intel-based. There was a time when AMD simply couldn't compete on anything but price, which was never of interest to me because I value performance. I lean heavily on my computers for high-end 3D animation/design/rendering work, as well as gaming and other common functions. I bought this processor to test as a potential replacement for my existing rig, which had two 10-core Xeon chips ($1,000 each) on a server-grade motherboard. This 1950x CPU shreds that setup in Cinebench and real-world render times, is way faster to boot up, runs cooler and was almost 1/3 the cost! It's been completely reliable and capable. Seriously, if you're the kind of person who's always built around Intel CPUs, now is the time to reconsider AMD.I would highly recommend this CPU to anyone who needs lots of cores for 3D/DCC or other applications that will benefit from having 32 threads.

","Reviewed in the United States on December 29, 2019"
2,"
Blazing Saddles!
","

  I'll try to keep this short - IM A GAMER (along with other things) AND THE PERFORMANCE IS GREAT! BF4/BF1/Battlefront 2 all run fine! Witcher 3 got a Ryzen update and is SMOKING my intel i7 4930k. Most PPL come from intel backgrounds and thats fine - theres a bit of a learning curve here. If your having performance issues download (from AMD of course) AMD RYZEN MASTER - its a program that allows you to set your CPU up or revert it back to stock... Whats important is that you set your memory to LOCAL mode and leave legacy compatibility mode OFF (keeps all the CPU' cores enabled). BOOM there was the performance I was looking for! I Game but I also edit and upload the video's on Twitch/YouTube. The Handbrake encoding speed is nice. Halving the time it took before. There were some hiccups with the motherboard initially but its all been ironed out. I cant believe the memory speeds Im hitting with this - nearly 90GBps on the ram in quad channel config @ 2400mhz. I had the same speed ram in DDR3 on my i7 4930K and the best I saw was around 24GBps! (both 32GB quad kits / G.skill tridentZ RGB vs RipJawZ @ 2400MHz).It's MASSIVE! and when you first hold it the thing youll notice is the weight - its HEAVY. What a beast of a CPU.  ALWAYS REMEMBER TO GET THOSE BIOS UPDATES FOR x399!!!! Especially if your using the Gigabyte.What can I say I love it, it's fast and if you like video editing your in for a TREAT! Adobe needs to get After Effects/PremierePro updated since it can only use 18 cores but Im seeing software get updated to take advantage of Ryzen so fast.Overclocking is fine and all but unless you NEED to, I wouldn't OC right off the bat. Im cooling mine with the Fractal Design S36 and when Im transcoding videos in handbrake I average around 63.5c and thats with stock thermal paste. Im waiting for my new PC case to put arctic silver on. Some idoits say Threadripper runs hot - complete BS! Its thermal shut off diode is at 115c! Its rated to run 68c 24/7 - so yeah stock its cool. Idle temps right now for me are 32c. using HWinfo64 I can see my entire mobo is using 120 watts idle and with a full workload averages about 350 watts not counting GPU's. I have it on an Corsair RM850 and its powering the CPU fine (even when I did OC for some testing).Dont let it sit in your case with a slow SSD SATA hard drive  - give this hungry mother what it wants - a full blown PCIe x4 m.2 drive! Its just begging for one and most of the motherboards can feed it up to 3 of these with native ports! FYI AMD just released full m.2 nvme RAID support driver (which is a bit psychotic) but I guess if you need 20GBps read/write hard drive speed - have fun! Intel is BLOCKING this on their non Xeon boards...Conclusion - Im an intel guy and Im having a BLAST with the Threadripper. Its exotic and different in a way I like. Im not a guy who like the status quota - I like things free and open for me to have my way with and AMD has given me just that! No more restrictions and BIG BROTHER saying what I can and cant do. This firecracker is lit and ready to explode.

","Reviewed in the United States on September 25, 2017"
3,"
No regrets! Awesome 4K plus video editing beast.
","

  Threadripper is great for editing hi-res video like 4K or up to Red 8k footage. My old Intel i7 4 core chip could not handle 8K even at 1/4 resolution in Premiere Pro and I had to use proxies to edit. Threadripper rips right through the footage no problem, I'm almost able to play full resolution smoothly on the timeline it just drops a few frames. Smooth at 1/2 res through. Render times are equally impressive. If you use Lightroom or Photoshop it works good too, however if those are your primary programs then I recommend going for the fastest clocked CPU you can get as they don't use multiple threads that well and I have noticed slightly slower performance using Threadripper versus my old Intel i7 running at 4.3GHz. However Threadripper is super easy to overclock using AMD's program Ryzen Master and definitely helps improve performance in certain applications. Gameplay is awesome for a workstation CPU and plays all the latest games at very high detail and is only about 20-30FPS slower than a fast Intel CPU. Some early reports were that Adobe Premiere Pro CC was not working well with Threadripper, not using the multiple cores well but I'm seeing all 32 threads being used at 100% utilization while editing Red footage and about 60% average GPU usage. I think most of the problems that you may read about were caused by early Motherboards especially the ASUS boards. I'm using the Gigabyte X399 Designare EX Motherboard and it was super easy to install the CPU and setup and has been very stable. Just make sure when you install the CPU to tighten each screw in order 1-2-3 a little bit at a time, then go back and tighten them all they way 1-2-3 in that order and you should have no problems. I also recommend using the Enermax LIQTECH TR4 240-360mm AIO Liquid CPU Cooler which runs very quiet keeps the CPU cool running at idle around 30C and under full load around 50C.

","Reviewed in the United States on June 12, 2018"
4,"
Great CPU, just research & plan out your motherboard and RAM carefully, it's not one size fits all
","

  There are a lot of claims going around that this CPU requires water cooling so I tested it. Mine easily and stably overclocks to 4.0GHz with a single-fan noctua NH-U14S TR4-SP3. Could possibly clock a little higher with liquid cooling but I haven't attempted it, even though there's plenty of thermal headroom. My CPU only runs a degree or 2 hotter with the noctua than with h115i. This processor also plays nice with high speed RAM, just make sure you get an asus motherboard if you want to hit 3600mhz on 128GB. I tested 3600mhz on 64gb with the zenith extreme and it works, but I ultimately chose the asrock x399 fatal1ty professional gaming for size reasons and my GPU wouldn't fit on the first slot of the zenith extreme. There are lots of other benefits to the asus boards but there are some unique benefits to the fatal1ty board, like onboard 10G lan for what that's worth. So with the asrock board I've been able to run 3200mhz on 64gb. It doesn't say anywhere in the manual or elsewhere that the board does not support 3600mhz, but if you select 3733mhz, it will revert to 2166 when you boot into windows. And when I selected 3600mhz, it'd boot and run at that number but crash as soon as i ran a program like google chrome. Tried it at lower and lower rates until I got to 3200mhz which is completely stable, so I'm guessing that's just a known limit but asrock's customer support is unaware of it. So yeah the threadripper is an amazing CPU but there are some things you gotta plan out in advance for your system. By the way, if you want to boot off an NVMe RAID array, this is definitely the platform to go with. The setup isn't trivial but it's this versus intel VROC, so there you go.

","Reviewed in the United States on October 7, 2017"
5,"
Great Product!
","

  Pros:-Extremely fast-Price for value is great!Cons:-Had some challenges getting it to run at optimal performanceOther Thoughts:Unlike some, I found the installation to be very straightforward. The best tip I would provide is to screw in the number 1 screw a little, then the number 2 screw, then the number 3 screw. Then go back and tighten them all up.A few tips to save time on optimizing.First, make sure you are running four sticks of quad channel memory. Dual channel really hurts your performance.Second, turn off IOMMU in the northbridge bios settings. This also hurts performance.Third, turn off HPET in the bios settings. This KILLS performance. Prior to getting this turned off, my FPS were half what they are now, programs were slow to load, etc....With these three items out of the way, I am having a GREAT experience. Wonderful CPU. Everything loads instantaneously.

","Reviewed in the United States on January 13, 2018"
6,"
Amazing and beastly CPU
","

  Upgrading from a 6 core 5820k, I realized how powerful the Threadripper truly is. I absolutely adore this thing. Even with the alleged slight gimp to gaming, I've not had a problem running everything on 1440p while having my 200+ browser tabs open along with Spotify, Adobe PS, Illustrator, and various other miscellaneous programs. This CPU truly is a beast and is a multitasker's dream! Productivity has skyrocketed ever since getting this upgrade!Pros:ultra fastcrunches any processes you throw at itprice for performance ratio is very good like most AMD productsthe packaging box looks amazingCons:it can run hot at times (make sure you have proper cooling!)it can also be a power hog

","Reviewed in the United States on April 19, 2018"
7,"
Blazing fast encode times. Must run quad channel RAM
","

  I upgraded from an i7 6700k to a Ryzen 1800x I’m using Handbrake to move BluRays to a NAS and saw a really good boost to my encode time. I still thought it could be better and then I got the 1920x and it did not disappoint! I really can’t believe how fast this CPU is! It doesn’t bat an eye no matter how much you throw at it. The only thing is you need 4 sticks of RAM. You must run it I. Quad channel to take full advantage of the CPU

","Reviewed in the United States on November 11, 2017"
8,"
Overall impressed with the results.
","

  I'm always a little hesitant about performance specs you read online, but this is the first system I've built in a while that I have been very impressed with. AMD has finally made some chips that I prefer over Intel.The one thing I'd change about my build would be doing a CPU water cooler instead of the ""high-end"" heatsink I purchased. As with most AMD chips, the temperatures get pretty high, and I'd have liked to have a little more room to push the CPU.Ultimately, even with zero overclocking, it performs incredibly well. I'm able to edit 8k RED footage at half res fairly seamlessly.Specs: AMD 1950x, 64GB RAM, SSD for main OS, NVIDIA 1080 TII edit over the network using theOther additional hardware:Synology DS1817+ NAS with an added 10-gigabit network card.D-Link DXS-1100-10TS (Network Switch)ASUS XG-C100C 10G Network Adapter (for my desktop computers)CAT 6a network cables (to get 10-gigabit speeds)With this setup, I get transfer speeds averaging 650MB/s. Which is awesome for an off the shelf NAS.

","Reviewed in the United States on October 29, 2017"
9,"
Great for multistream 4k video editing
","

  I think this is a great CPU. It is relatively easy to install if you get a motherboard with the Lotes CPU Socket - not Foxconn! Foxconn is horrible (see reviews online about it). I have only played a few games on it (Fallout 4 mostly) and it has no problem in 1080 Ultra settings (but that's mostly GPU anyway - which I'm getting a slight bottleneck due to going with a midrange video card due to budget restraints).I got this CPU for 4k video editing. I'm using Vegas Pro and a few other editing programs, and coming from an old i7-2600k, it blows it out of the water (I mean, if I were liquid cooling - which I'm not. I'm using the Noctua NH-U14S TR4-SP3 and it works great with it).I can render out a 10 minute 4k edited project with 5 audio and video tracks (complete with color grading and multiple effects) downsampled to 1080 24p (16MB bit rate) in about 6 minutes. Then I can take that same completed 10 minute 1080p video and render that out to DVD 24p  (720x480, 8MB) in 57 seconds.I've only had the Threadripper 1950x for a few days, so I'm still testing and playing around with it - but I love it so far!

","Reviewed in the United States on August 14, 2018"
