,title,content,date
0,"
idk
","

  I'm not sure if this cpu is better than my old i5-3330. The percent of cpu utilization seems to go up a lot faster than the old cpu while performing similar tasks; but the motherboard that I'm using this cpu in is missing 2-3 socket prongs. I don't know if that would have anything to do with it. All 4 core temps fluctuate independently in hw monitor, so I'd assume that all cores are functional. It doesn't really matter, as I only use this pc for light stuff like browsing at this point, which generally only uses around 10% or less processing power. (I also haven't tested it since removing the antivirus software that was conspiring with windows to use 100% hdd read/write for up to 10 minutes after booting the pc. Even without the antivirus, windows uses 100% disc speed for up to two, maybe three minutes after boot, so I only ever hibernate my pc now. I know it's not the disc because I just replaced the 7 y/o WD Blue hdd with brand new WD Black hdd and it still does the same. Just microsoft being microsoft I guess. I mention it because if windows is wasting my hdd resources, it could also be wasting my cpu resources. win 8.1 home, btw, modded with classic shell so I don't have to look at or interact with the metro ui).

","Reviewed in the United States on October 28, 2017"
1,"
Worth the Buy for the Budget-Minded
","

  I bought this processor around Christmas and I've had it through the paces now.  I'm not going to get into technical stuff as other people have thankfully already put in their word on that.  What I will say is that this processor has tremendous bang for the buck and the price point is right.After researching my options for a couple weeks ($300 is a big deal to me), I came to the conclusion that this unit was the right price with the right amount of firepower.  I almost stepped it up to an i7 because I do some video editing, but I can still render out a 1080p 15 minute clip with some post work in about 35-40 minutes in Premiere (16 gig ram).For the money, I'm completely satisfied with it.

","Reviewed in the United States on January 25, 2017"
2,"
Procesador i5-3570, 3,4 GHz
","

  Excelente, el procesador que recibí fue el mismo que se describe (i5-3570, 3,4 GHz) , me va excelente en el Motherboard que compré para este.....estoy muy contento con el procesador, ademas que me llegó varias días antes de la fecha indicada.de estar disponible lo compraría nuevamente para ponerselo al PC de mi hijo.

","Reviewed in the United States on October 28, 2017"
3,"
Intel. Nuff said...
","

  Rebuilt my computer with this processor and other hardware. No issues. I’m a casual computer user at home. And I play a flight sim on occasion. I have not seen any issues with performance, but I’m clearly not really taxing this processor.

","Reviewed in the United States on May 27, 2014"
4,"
but this little processor is just amazing. Under load
","

  I know it's silly to review at this point since Haswell came out, but this little processor is just amazing. Under load, its heatsink keeps it at around 55-60C - no need for extra cooling! The included graphics are good, honestly, they'll do for troubleshooting if the graphics card ever fails. Worked out of the box of course, zero issues with installation. I've loaded a game + livestreaming + youtube + a few other programs and it gave me zero trouble.

","Reviewed in the United States on September 1, 2020"
5,"
Fast shipping, works well
","

  Purchased used i5-3570 to eek some more life out of a home computer. EPower shipped quickly. The cpu was clean and well protected in shipping material. Worked perfectly, no issues. Booted properly and OS recognized it as a I5-3570.

","Reviewed in the United States on December 16, 2018"
6,"
good cpu should have gotten the 3570k
","

  good cpu should have gotten the 3570k ,for xmp profile in bios for the ram ,not sure if you can run that with the xmp ram because its not a K cpu but the K version was more expensive  ,the chip is fast ,excellent upgrade from the 10 year old one I had , does well with games and is priced for budget saving . even though the 1155 is considered old and 1150 is now the norm. Temps were very good ,internet page loading was fast .Overall very good cpu

","Reviewed in the United States on July 27, 2014"
7,"
Worked like a charm for all the office computers I built ...
","

  Worked  like a charm for all the office computers I built for the entire sales department. Installed without a hiccup and tested precisely as advertised. Couldn't be happier..especially when your boss that never gives praise, smiles with a wink knowing the job went smooth and with no complaints.Stock cooler kept temps cool enough for office work and speeds just above the benchmark.

","Reviewed in the United States on May 7, 2019"
8,"
Fast CPU, runs cool.
","

  This CPU wouldn't work with my DELL motherboard (I didn't check ahead of time).  I bought a good m-board and it's run great.  Fast CPU for the money.

","Reviewed in the United States on May 3, 2015"
9,"
Uruguay noma
","

  Lo mejor en plataforma 1155.no se necesita más nada hasta el 2022 (full HD 1080) .ahora el enfermo que quiera jugar 4k que pague su valor

","Reviewed in the United States on September 18, 2015"
10,"
One of my best buys
","

  I upgraded from Pentium G620 and the difference is H-U-G-E ! 4 cores @ 3400 Mhz with a sweet overclocked gtx 660 gpu and my custom-built PC is just the gaming machine I needed. Definitely recommended for those who don't want to do overclocking and experimenting. Cheaper than the K version, newer model, and their only difference is that the K has better integrated graphics and is able to overclock. Also this cpu has some extra features the K version doesn't. And btw integrated graphics suck anyway.P.S: For those of you who chose to upgrade to this cpu and are using windows 7 , make sure after the installation, that your cpu is running on 4 cores. Sometimes the system can't read more than 1 core if the previous cpu was 1 core. Google for more information ;) hope i helped !

","Reviewed in the United States on October 28, 2017"
11,"
The intel Core did not come with Cooling Fan. ...
","

  The intel Core did not come with Cooling Fan. Someone in above asked it about it, and the answer was YES.But, it didn't come with a Cooling Fan.  Or Intel core box as above.You need to buy a New Cooling Fan with thermal paste already on or Thermal paste to install it.

","Reviewed in the United States on January 25, 2017"
12,"
Great performance for the money
","

  All I can say is WOW.  This is actually a bit of a downgrade from my previous i7-970, but I rarely needed the extra cores/hyperthreading so I figured putting some cash towards the other components would be better suited.So far this CPU has exceeded my expectations.  Since this machine is primarily used for web surfing, gaming, and photo editing, this CPU simply runs circles around anything I throw at it.  I've yet to see it struggle, even when doing my initial burn-in testing.  Oh, and turbo boost is more like overclocking.  I've seen this CPU peg itself at 3.8GHz (max turbo speed) for as long as I have whatever stressing it running.One night I felt a little crazy and decided to simply bump up the turbo speeds, basically setting everything up 200MHz.  I now see it frequently hit (and remain at) 4GHz and still as stable as can be.  Temps are fine under load, I'm sure I could push it more if I felt so inclined!  Now I do have a Cooler Master Hyper 212 on here.  I wouldn't push this CPU beyond normal speeds without some kind of aftermarket cooler.  Even without overclocking, it wouldn't be a bad idea to replace that tiny cooler it comes with.  It's barely adequate for stock speeds.Besides being unlocked, the only feature the ""K"" processor has over the standard is better on-chip graphics.  For me, I went straight for the locked unit as I didn't plan on overclocking and I knew I'd be using dedicated graphics.  Of course shortly after getting the 3570, I find the 3570K is only $1 more than this processor.  It seems the gap widened again, but still annoying.  Never the less, unless you need onboard video or plan on some pretty substantial overclocking (more than simply changing the multiplier), this is plenty of power for you!

","Reviewed in the United States on February 2, 2014"
13,"
Cool running CPU
","

  This CPU was used to build a gaming machine.  It was a easy to install.  I came with a beefy fan, but I ended up using a water cooling system.The CPU itself actually ran pretty cool.  We ran a few intensive demo's and the cpu never got smoking hot like the older intel cpu's.Overall a great buy for gaming.

","Reviewed in the United States on January 25, 2017"
14,"
Part of a Gaming PC Build for under $1000
","

  Cooler Master HAF 912 tower for $59.99Intel Core i5-3570k processor for $199.99Gigabyte GeFore GTX 650 Ti OC (2GB) GPU for $153.98Corsair Vengeance 8 GB (2x4GB) DDR3 RAM for $51.99Crucial M4 256GB SSD for $160Lite-On Super AllWrite 24x DVD drive for $17.99Cooler Master RS-550-PCAR-E3 PSU for $53.24ASUS P8Z77-V LX LGX Mobo for $124.99Cooler Master Megaflow (200mm) and 4 120mm fans for $27.91Windows 7, 64 bit, Operating Sysytem for $91.17Got all items from Amazon except for the GPU (Newegg) andthe SSD Hard Drive (ebay).  Total, including shipping, was$931.25.Got the CPU clocking at 4.0 GHz, with 1.185v.  CPU temps arearound 80 C during heavy load.  Ran an Intel Burn Test withstable results and around 103 GigaFlops performance.  Thisbuild will take any game you throw at it, at high performancesettings.

","Reviewed in the United States on November 14, 2012"
15,"
Works as expected. very quickly.
","

  I upgraded all of my components from a much slower system, so it's difficult to ascertain how much of my speed gains are from the processor, but there's no doubt this is a fast processor. Some anecdotal observations from playing a couple 2-3 year old games on my new system but before I upgraded my Nvidia 8800GT video card indicated that the games ran much faster for what it's worth. Since I'm not overclocking, I went with the stock heat sink and fan.  I'd heard the fan can be quite loud, but I don't feel that it's very noticeable at all except when first booting up the computer.

","Reviewed in the United States on October 8, 2013"
