,title,content,date
0,"
Such a waste of money and time. It didn't even work.
","

  My son asked me last month if he could get a new processor for his birthday (May 27).  I told him that if I bought him one, that it would be his only present because of how expensive it was. He said he was ok with just opening 1 gift (mind you, he just turned 12). So after a lot of research, I came to the conclusion that the Intel 7 was the best processor for his PC. I ordered the item on May 13 and received it a couple days later. I didn't open the amazon box because I already knew what was in it. On May 27, 2019, my 12 year old son opened his only gift. To my surprise, the processor wasn't in the Intel 7 box that is shown in the description. Instead the processor was wrapped in brown paper. No instruction, no serial number, no fan, nothing. But I didn't really care about the fan because I had already purchased a better one. So, giving the product/company the benefit of the doubt, I installed the processor I ordered into my son's PC. And what should happen, nothing. I spent the rest of the evening researching why the processor wasn't working in his PC. But I didn't find anything on line that had the same problem as I was having. So, I decided to update the BIOS thinking that would make a difference, but it didn't. I even called my friend (who builds computers) to come look at it. After spending the evening researching, he said that everything was compatable and that there shouldn't be any reason the new processor shouldn't work, UNLESS there was something already wrong with the processor that I bought. He then recommended that I return it. I just filed a return claim. So now I'll wait and see if they will refund my money.

","Reviewed in the United States on March 17, 2019"
1,"
Doesn't work
","

  Wasn't expecting it to be a new chip but it was so polished that I can barely read the Intel 6700K logo. Can't test myself because I don't have another compatible board. Spent money to have a computer repair center test it and my ASUS ROG B150 Pro Gaming Aura motherboard, and another fee from Asus for an RMA on the board (haven't sent it in yet). The store says it is defective. Seller insists we're incompetent, me for ordering the incorrect CPU, and the store for failing to test it correctly. Although I bought the exact same CPU as the one that doesn't work. It is Skylake CPU for intel LGA 1151 socket, which replaces one that worked for years and stopped so I replace it with one from the seller. The problem: Nothing appears on screen but there's no CPU error light, just fan spins and board lights up. Buying this item from Amazon meant waiting a weeks for the package to clear through customs, then a surprise 70 customs fee, then diagnostics fees, all before contacting the sellers. So that's almost 500$ wasted on a metal stamp, most of which are fees that the seller isn't liable for and won't refund anyway. Then being insulted by the seller on top of it. My only option is seeking another computer store to test the CPU I bought AND my old one so the seller will be satisfied and will hopefully honor refund requested through Amazon, but that's going to cost another 70 diagnostic fee.

","Reviewed in the United States on May 29, 2019"
2,"
Awesome
","

  This thing is screaming fast. Son plays any game on high settings with a gtx 1070 card. Opens everything as fast as you click the mouse. Should last a good long while. I know this isn’t a very technical review and you’ll have your computer experts tell you better than I can but my son is avid gamer and loves this Processor.

","Reviewed in the United States on May 29, 2019"
3,"
Intel is outperforming AMDs
","

  Since 2003, I had AMD processors, I had the one core I remember at that time hahaha, my current HP Desktop has a AMD Phenom II X4 2.90 GHz, I bought an AMD FX 8350 but unfortunately the one I've got and the replacement were dead on arrival. I also was disappointed with AMD products because the FX series come with a ridiculous, small stock fan, smaller than my AMD described above. When I saw this Intel i7 6700K, I was excited, I just purchased it, arrived in perfect condition.I already tested and my PC that I am already building runs very fast in all aspects, I know Intel is expense than AMD but it is worth it to buy them, they are very good quality, they don't run very hot when you overclock them, AMD is way behind than Intel, they have the same architecture form several years, there is nothing new, I am sorry but I want something that lasts several years without having issues with hardware. Intel is always improving their products, their technology is way superior that AMD, it just outperform AMDs.When you see a processor, don't just consider their cores and the speed, they are several things to consider about the processor's speed, like BUS SPEED for example and other important factors. Extremely satisfied with this processor. I love gaming so I don't want any lag at all.

","Reviewed in the United States on June 26, 2019"
4,"
The best processor out there today! Supports DDR4 RAM!
","

  OK everyone, so here's the deal:This is an absolutely fantastic processor! I am upgrading my 6 year old computer (Intel Core2Quad Q9550) to this beast and let me tell you, I don't care what people are saying about Skylake this, Skylake that, it's amazing! Now, please, do yourself a favor, and if you're going to spend this kind of money on a component, have the decency of purchasing a Corsair H115i water cooler as well! On my first build I had used air cooling for the first 1 and a half or so, then I discovered Corsair water cooler (at the time I purchased the H55) and it's been wonders ever since. I was running Far cry 3 last night with this thing (stock mind you) on Ultra settings with a EVGA GTX 960 FTW edition, and was hitting 60 FPS stable at all times. (dropping to 59 or 58). Temps were 44 C - 50 C. IT wouldn't go past that while gaming. Fantastic product! Just buy it already! :)

","Reviewed in the United States on March 17, 2019"
5,"
Amazing Processor
","

  What can you say.... Dammm Gina  This thing flies. Opens files and pictures before I can click the mouse. Spend the extra money get the I-7 over anything else.... You need to own this processor now before technology advances to the point that...This processor owns you..

","Reviewed in the United States on November 18, 2016"
6,"
Solid Skylake.
","

  You can simply overclock this to 4.6 right out of the box in the motherboard without tweaking any voltage. And still runs relatively cool. (I use a Noctua heatsink fan)This was a huge improvement over my previous CPU (Phenom IIx4 BE), I notice much less jitters in graphics when in dense gameplay particles. Great buy. Unfortunately, after buying this, the next week Kabylake dropped. I'm very bad at checking when the next thing is going to be out, I would've waited. But honestly, after reviews on Kabylake, there's very little differences in performance.Running simulations is also a breeze. Takes a few seconds instead of minutes on my last CPU.

","Reviewed in the United States on March 31, 2016"
7,"
great buy, totally happy
","

  no problems was perfect condition and installed cleanly. ,  not terribly sure why they sent a stock cooler with  a k  model,  seems wasteful.  my best usable OC was 4.8  mhz.  anything over  actually performed slower on speed tests. Eventually i went to stock values cause of energy , heat and longevity concerns.

","Reviewed in the United States on January 25, 2017"
8,"
Intel i7 refund
","

  Either this allowed to pins to arc or i got two faulty boards. I'm unsure of what caused this to not work with two different setups. Decided to go with a amd board and chip and I'm up and running now. 3 stars since i never tested the chip with a third board i knew worked so it wouldn't be fair to rate 1 star. On the other hand, it didn't work for some reason and the seller never reached out until the refund went through to help resolve the issue so definitely not 5 stars. Especially since they didn't know a cpu could cause pins to arc if either installed incorrectly or its faulty.

","Reviewed in the United States on September 24, 2017"
9,"
2nd best gaming CPU on the market
","

  I was able to overclock mine to a stable 4.6 GHz on a Corsair H115i cooler, which is actually about 10% faster than the stock 7700K. It performs admirably in all CPU-heavy applications and is absolutely fantastic for gaming. If you are building a gaming PC this is a rock solid option, second ONLY to the 7700k in performance.

","Reviewed in the United States on September 9, 2018"
