,title,content,date
0,"
This CPU cured my depression
","

  I’m proud to say AMD cured me depression

","Reviewed in the United States on July 7, 2019"
1,"
I
","

  Just came

","Reviewed in the United States on December 18, 2019"
2,"
It's a Beast
","

  Just got my 3600X today, and this thing is a beast. Putting it under a H115i  keeps it cool enough to hit 4.2Ghz at just 1.35v. I am coming from a 2600(non-X), and this is leaps and bounds ahead of the old processor. I would recommend that you stick with a X470 or B450 board unless you really need PCIe gen 4.0 or any of the other extras X570 offers. With the lower power draw than last generation, it should have no problem on most X470 and B450 boards. Most if not all need to have their BIOS flashed/updated to run Ryzen 3000, so make an informed decision on whether you need to borrow an older chip or find a board that can update without a CPU.I fully and 100% recommend this CPU and believe anyone will be happy with it in both gaming and workflows. As always, make an informed decision based off other users and reviews to make sure this is the best choice for you!

","Reviewed in the United States on July 7, 2019"
3,"
How to fix high CPU usage / oculus rift not compatible
","

  Just idling I was to 30% CPU and running Plex I was at 99% to fix this follow these steps. On windows 101) Press Windows key and R at them same time, and then type in the search box regedit and hit Enter.2) Follow the path to locate the correct system files:HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\TimeBroker3) On the right side of the pane, right click Start entry, then choose Modify….4) Change the Value data to 4, then hit OK to save the change.Disable SuperfetchNow idle is 3%

","Reviewed in the United States on July 7, 2019"
4,"
Headline!
","

  Upgrading from my AMD Ryzen 5 1600, seeing the uplift on some of my favorite tech reviewers I can't wait to see the gaming performance this brings with it. WILL EDIT after I experience this beast.UPDATE just popped this puppy in my b350 asus prime motherboard after I updated the Bios to 5007 from EZ flash, And ran a synthetic and its scored 19085, Ram 3000 MHz out of the box no tinkering at all. TEMPS never went above 65C Corsair h100i.

","Reviewed in the United States on July 9, 2019"
5,"
amazing
","

  Just ordered this chip, going to use a 2060 with it and a gigabyte b450 aorus wifi pro i will edit this when i build the pc and test it.

","Reviewed in the United States on July 12, 2019"
6,"
AMD is BACK
","

  20% IPC uplift per core ryzen 5 3600 is the performance-per-dollar KING. Achieves great fps, only a couple less than the r7 3700x.

","Reviewed in the United States on July 9, 2019"
7,"
Mid range price with high end performance
","

  Great processor for gaming or general productivity at a price anyone can afford.

","Reviewed in the United States on July 7, 2019"
8,"
It isn't practical to match the 3600X with a 3600. Despite what people say, this is a good purchase.
","

  People will try to tell you ""don't buy the 3600X, just buy the 3600 and overclock it to 3600X levels and save money."" Sorry, Zen2 doesn't work that way.The 3600 and 3600X use the same voltage to reach their respective 4.2 and 4.4GHz boost clocks, which means the only way you're going to match the 3600X is to put it under water and run potentially unsafe voltages, at which point that extra $35-$50 starts looking a lot better than the $100+ to cool the 3600 well enough to keep up with the 3600X, and even then, the 3600 will NEVER match the single threaded performance of the 3600X.If you don't need an 8-core CPU, this is the CPU you want, skip the 3600 and go for this.

","Reviewed in the United States on July 9, 2019"
9,"
CPU is great, but older motherboards are dicey, and new ones aren't cheap
","

  I'm coming from an i7-4790K which I had set to a 4.6GHz all-core boost. This Ryzen chip gives me much smoother framerates in games, Windows boots faster, and the stock cooler is actually pretty solid. I have basically no complaints about the chip. If your primary use is games, then there's actually little reason to get the 8-core or 12-core versions. At $200 and $250, the 3600 and 3600X are fantastic values. You're getting really good performance at prices that Intel can't even get close to without losing its shirt.My problem is the older motherboards that are getting updated to recognize this new generation of AMD CPUs. In short, it's a crapshoot. If you're trying to save money by getting a B450 motherboard that can update, you may find it difficult for your PC to even boot. So if you do want one of these chips, I recommend going with an X570 board instead. Not only can they reliably boot, but you'll also be able to upgrade all the way to the 16-core chip without having to worry about your board overheating. Most of the older boards can't go that far.The thing is, the newer boards are not cheap. A solid choice like the ASUS X570-Plus or the Gigabyte Aorus Elite will cost you $200. A decent choice like the Gigabyte Gaming X or ASUS Prime X570-P will still cost you $170. That's quite a jump from the widely recommended MSI B450 Tomahawk that was recently going for about $100. That's the price difference between my 6-core 3600X CPU and the 8-core 3700X. You shouldn't have to sacrifice core count just to get a motherboard that works reliably.Alternatively, you can wait for MSI to release the ""Max"" versions of its older motherboards, which are claimed to be getting a few updates to their physical components to make them boot as reliably as the X570 boards. But there's no ETA on that, and no announced prices.So 5 stars for the CPUs, but 2 stars for how the motherboard makers have been handling them. AMD may also have waited a long time to send test chips to the makers, because they're notorious for leaking information to generate hype. Given how different these CPUs are from the previous gen, such a chain of events would explain the issues that we've been seeing.

","Reviewed in the United States on July 7, 2019"
