,title,content,date
0,"
This is the best all around CPU on the market
","

  A significant amount of individuals have recommended this CPU if you're heavily multitasking, but recommend the i7 if you're gaming. If the only thing you are going to do on your computer is game, then I think that's a fair assessment. If you plan on watching 1080p60fps Youtube videos, having 20 tabs open, copying files in the background, while playing Team Fortress 2 this CPU will probably get to ~45% usage with zero significant lag.I came from an i5 and was unable to play 4K Youtube videos without my PC having serious issues. One of the first things I did was open three at once with zero performance issues. So far, the only time I've been able to get my CPU usage above 50% is when I have benchmarked encryption speeds.My only complaint would be the stock cooler because I kept having temperature issues. I guess this is an aberration, because many people have stated that the stock cooler is more than enough. Now I'm using the Noctua NH-D14 (My case cannot fit the D15), which completely ameliorated any temperature issues I was having. Shoutout to Noctua support for being awesome.Overall I'm blown away by this CPU. It is incredible to not have a CPU that will bottleneck no matter what I throw at it. Get this over the 1700x or the 1800x, this is going to be the best bang for your buck.

","Reviewed in the United States on July 3, 2017"
1,"
What an amazing processor, bought it for gaming but also for ...
","

  What an amazing processor, bought it for gaming but also for HTML programming (overkill for this), for gaming, paired with RX580 8GB I can get 100 FPS in battlefield 1, still need to test Doom and GTA 5 but this processor provides solid performance.Packaging: It is beautiful, i will say this is a premium package, when you open it the first thing you see is the included cooler which is amazin and the processor very well packaged too.Cooler included: Excellent, i overclocked it to 3.7 GHZ in all cores with this stock cooler and with max load using CPUz it doesn't go over 70 C, also the RGB is so cool. Very silent cooler too.Performance: Solid, moves Windows 10 like a joke, you can do gaming and a lot of other tasks at the same time without losing performance thanks to the 8 cores and 16 threats.Price to performance: I will say this is the best bang for the buck, I got it for $284 which was a discount price versus an i7 8700 which is faster in gaming yes, but it also costs $400 right now, on black friday it was for around $260 so it is a great option. A lot of ppl says this is crap for gaming, well... that's not true, it is excellent, yes, intel is better but not that much (around 10%). However overall benefit from this processor is better I think, for design and gaming balance.Good job AMD (I'm not a fan boy, all my last 5 PCs were all intel, just giving a good review to an excellent product).Update 01/26/2018 After 2 months of usage O can say this is solo good, best bang for the money. Run my games over 100 fps with the RX580 with no issues maxed graphics, imagine what you can do pairing this with a 1080 TI. Highly recommended.

","Reviewed in the United States on April 19, 2019"
2,"
Excelent CPU for software developers
","

  I'm a software developer working mostly with C++ projects. Compile times are cut almost in half compared to the Skylake i7 6700k I used before. Managed to overclock it to 3.8Ghz without problems and overall system stability is good.

","Reviewed in the United States on July 3, 2017"
3,"
I installed the newest bios update and overclocking was easy. The ram is running at 3200 MHZ with ...
","

  I have owned Several AMD processors and Intel Processors over the years. My Ryzen 7 1700 is a lot faster than the FX 8350 I just replaced. The FX was showing its age with a MSI GTX 1060 6 gig. I paired my 1700 with a MSI X370 SLI Plus motherboard and 16gigs of G.SKILL Ripjaws V Series ram. I installed the newest bios update and overclocking was easy. The ram is running at 3200 MHZ with the Ryzen 1700 overclocked to 3.8GHZ @ 1.36 volts. My system is stable and the corsair H80i keeps temps at 38c idle and after a hour of prime95 it did not go past 75c. I am loving the speeds and multitasking my Ryzen 1700 is capable of.

","Reviewed in the United States on December 6, 2017"
4,"
I didn't win the Silicon Lottery
","

  Have this overclocked at 3.7 at 1.225v thereabouts, and it works with my RAM (Corsair Vengeance 3200) at 2933 MHz.  I forget the voltage but probably around the same ballpark of 1.225v.  That was where it was sitting before the AGESA update, so as far as I could tell that did nothing.  Can't knock a star off for that though, because at 3.7 it does everything I need it to do, gaming, streaming, and watching videos all at once.  Occasionally rendering videos.  Wish I could hit 4.0, but I still got more than I paid for.  My old locked i7 2600 was . . . well, locked at 3.4, and was worse at everything anyway even with the Ryzen at its stock 3.0.Idle temps are at 38c paired with a NZXT Kraken x62, gaming and streaming load is a comfy 50-55, and 100% CPU utilization for an hour sits at 75c dead.  If I use the stock cooler, those idles are about 5-10c more.  I'm not sure whether that's a pro for the Wraith Spire, or a con for the NZXT Kraken.  The Wraith Spire it already comes with already comes with pretty lights, but not as pretty as the Kraken's.  Is it worth spending an extra 160 dollars for a marginal increase in prettiness though?Yes.  Yes it is.[edit] I've seen mounted my radiator to the front as an intake rather than top radiator, and my temps were safe enough to push this to 3800 at 1.25v.  In fact, it constantly hit 32-35c, which is in fact the lowest it can go since the liquid inside can't get any colder (Southern California afterall).  I might try for that 4.0mhz

","Reviewed in the United States on April 9, 2017"
5,"
Best Chip I Could Have Hoped For
","

  What a great price for such a beast of a processor. I was so excited to build my first PC and also use this new chipset! I liked the performance adjustments you can seem to get out of this one over the x version, so I left the included cooler in the box and put it in storage. Then I brought out my Corsair AIO and hooked it up to my new 1700. Given a high RAM diet, this chip absolutely flies. Rendering and streaming are very quick. I can stream with OBS at 6300 bitrate at 1080p60fps with NO dips in performance ever. OBS tends to be quite CPU intensive, so this is quite nice (and luckily my internet speeds can keep up).People said this isn't as good at gaming as Intel's lineup. I'm sorry, but I just don't see it. I play all the latest AAA titles as well as competitive ESports titles at 1080p super-sampled to 4k when applicable, max graphics, etc, with no dips in performance, issues with frames, tearing, or anything but the best visuals in gaming I've experienced so far.As I mentioned earlier, this chip loves RAM. I had 16GB of 3200MHz RAM to start, but found that I needed an additional 32GB to really max out my streaming as well as my video editing. 32GB 3200MHz seems to really keep this chip happy and producing great numbers both in benchmarks and in render times, stream reliability and speed, etc.I have this overclocked to 4.1GHz on all cores. This was a trial though. I'm having an issue in the BIOS (ASUS TUF board) where I can't overclock past 3.65GHz unless I play with voltages. The problem is that if I change the voltages for the CPU literally at all, in any direction, the system reboots with a default speed of 1.5GHz on all cores. The only way to get past this was to use the Ryzen Master software. I actually had tried it earlier but thought it didn't work. Turns out it gives you an error saying the application of your overclocked failed, but it really doesn't. If you look at the output, your overclock runs just fine. The part of the program many people don't like is that every time you turn your computer on after being off, it resets to default speed. So every time I go onto my computer I must apply my OC before I game in order to have consistent gaming performance and streaming. I don't mind this at all though. Just keep it in mind when you get this chip.All in all this chip is my pride and joy. I brag about it a bit because it's better than I am in pretty much every way. Paired with a GTX 1080, my system can do just about anything. Ryzen 7 1700 is probably the best chip for the price if you're looking for the higher end as a gaming/editing/streaming usecase.

","Reviewed in the United States on May 27, 2017"
6,"
BEST BANG FOR YOUR BUCK AND SHE'S BUCKING 8 CORES AND 16 THREADS!!!
","

  Currently overclocked to a moderate 3.7GHz without even touching vcore and all settings set to auto and it's rock solid. I'm currently using the Wraith cooler till my 212 Hyper EVO bracket comes in and it's running around 32* Idle and  52* @ load which is impressive to say the least.I have this paired this with an MSI Tomahawk B350 MB and also don't forget to download and take advantage of AMD's free software AMD Ryzen Master. This will give you useful information and allow you to overclock directly from the desktop.I replaced an Intel i5 4690K overclocked to 4.4GHz with this Ryzen 7 1700 and what a difference in day to day tasks. I've been loyal to the Intel brand for decades but AMD got it right for the price!!---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Edit: 3/24/2017It's now been a few weeks with this new Ryzen and everything is running great. I have been able to overclock this to 4GHz with only 1.385v and she screams in every benchmark. My bracket finally came in for my Cool Master Hypo EVO 212 and temps idle around the mid 40* and hit about 67* full load overclocked @ 4GHz.As far as gaming is concerned my i5 4690K was giving me a few more FPS but once I overclocked this 1700 it's now on par without the need to disable SMT. I recently switched my power profile back to balanced from performance for obvious reasons and see no downgrade in performance from doing so.You are definitely getting your bang for buck with Ryzen.-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Edit: 5/5/2017Now that AMD have released new chipset drivers and the new ryzen balanced power plan this is absolutely the best running computer I've ever built. I nick named this thing the Terminator because no matter what you throw at this thing it just keeps coming!!

","Reviewed in the United States on July 8, 2017"
7,"
Fantastic processor.
","

  Awesome processor. it runs at 3Ghz out of the box, but even with the included Wraith Spire cooler, it will easily overclock to 3.6Ghz. If you spend a few dozen dollars on a good third-party cooler, I'm sure you can easily reach around 4Ghz.The Wraith Spire itself is an awesome cooler. It's tiny compared to some aftermarket coolers but seems to keep the processor decently cool even during heavy load, and the small size means no difficulty fitting it in any case.Furthermore, it runs so quietly you will literally never hear it.The Ryzen processors themselves may lose out a bit in gaming performance vs equivalent Intel processors, but:1) With the terrible TIM that Intel puts in their dies, thus causing much higher temperatures, thus requiring better cooling, thus creating more noise.2) The typically higher price point of Intel, both in CPU and the motherboard (not to mention the fact that Intel makes you buy a new motherboard every single time you get a new processors, whereas AMD has promised to stick with this chipset for what is presumed to be Ryzen 2) and the fact that Intel's included heatsink are always pure garbage3) The fact that Ryzen itself is already so fast in modern games anywayI don't see why you'd not save yourself the money and the headache from the extra noise, and go Ryzen. I did, and I don't regret it for a minute. Coupled with an MSI Gaming plus motherboard and an MSI Gaming 1070ti, my entire system runs simply silent (there is NO fan noise as I'm currently typing this, and there is basically no fan noise even when I'm playing games maxed out) and everything runs at 80+ on the highest possible settings at 1080p.So unless you're gaming at 4K or absolutely must have 144fps, go for the small guy. It's time Intel got some competition again anyway.

","Reviewed in the United States on November 24, 2017"
8,"
Absolutely phenomenal. Ryzen is king
","

  This cpu has incredible performance for it's price, I don't know how amd pulled it off but they did.  I used this cpu and a RX 560 to build a family member a budget pc.  They were going to spend $800 on a prefab from Best buy when I said wait a min... don't do that!I ended up spending around $820 but there were around $140 in rebates for the entire build.  It's a fantastic cpu, it's amazing at multi tasking due to amd's architectural design.  I wish I had this thing in my PC to replace my Intel i7 5820k which is a really good cpu as well but even when I push it to 5ghz it can't keep up when it comes to running multiple high end programs at once.Ryzen is King.

","Reviewed in the United States on March 12, 2017"
9,"
AMD is back with great performance/watt/price ratio. 8C/16T what more can you ask for.
","

  Just assembled my new Computer Build with this Processor at the heart of it, replacing my old AMD FX8320e 8-core processor, and have to say I love it. AMD's new Ryzen processors are what I have been waiting for them to release. Not only are they fast and efficient, but they are also priced very competitively and can once more go toe2toe with the equivalent Intel processors, but typically offer better bang for buck. I like the fact that not only did AMD bring a fast 8 Core processor out at a great price point, but they also embraced Symetrical Multithreading or SMT for short, giving the processor 16 Threads it can use. It also supports faster memory (Memory still can be a little finicky if aggressively trying to Overclock beyond DDR4-3200), and other technologies, that brings it on par or better than current processors on the market. I also like the fact it came with the AMD Wraith Spire RGB heatsink/fan, which was impressive. The Fan has a cable attachment that I could plug into my Motherboard to control the lighting. I went with the 1700 over the 1700x and 1800x, due to price was slightly better, and it was more power efficient at 65W with little difference in speed, plus X versions only add extra profiles for overclocking, that so far in reality only gain a slight advantage over the non X version. I will however move to an X CPU when I eventually build my 2nd PC using a ThreadRipper CPU. I coupled this CPU together with an ASUS ROG Crosshair VI Extreme E-ATX Motherboard, Samsung 960 EVO 250GB M.2 SSD, and Corsair Vengeance 16GB DDR4 3600 RGB Dual Channel Memory and RM1000i Modular Power Supply, and Nvidia Geforce 1080 Ti 11GB GDDR5X Graphics Card.

","Reviewed in the United States on December 10, 2017"
