,title,content,date
0,"
Boost up my creativity when writing my college papers
","

  I bought 2950x couple weeks ago. The performance that I’m exprexence it’s astonishing. This processor doubled my writing speed in regards to papers. The 16 cores make me feel like a boss in many college parties. Why do you need a girlfriend when you have the legend threadripper?

","Reviewed in the United States on October 18, 2018"
1,"
RIP Intel
","

  One of of the best and affordable processors money can buy. Can do everything including cad modeling/rendering, 4k/8k editing, gaming, streaming, virtual machines. Worth it if you do video editing or 3D modeling or just love awesome tech. Way better deal than any intel i9.The chip needs to be set and screwed down in the TR4 socket properly. If not it wont read all the memory modules and can cause all kinds of issues. This chip likes low latency C14 memory for the infinity fabric. It is not cheap but it is highly recommended. The memory will read at a much lower speed when you first put them in your motherboard but highend memory should overclock to 3200mhz which makes the system run significantly faster.Get familiar with the ryzen master software it has a lot of settings and a couple different performance configurations like creator or game mode. It will also give you the true temperature readings since many mobos and programs are reading the Threadripper temps incorrectly. If anyone has any issues with installation or configurations send me a message.

","Reviewed in the United States on October 24, 2018"
2,"
Amazing CPU but DO YOUR RESEARCH
","

  I love that Enterprise level hardware is now available to the masses at insane prices ($850 vs $1,800 for i9-7960X) but this also presents a problem with people wanting ""the best"" without properly configuring their PC which leads to a bad experience.  Here's a short list of recommendations:1. Make sure your motherboard has the most recent BIOS updates. Especially if they're a Generation One Threadripper board. Although it is compatible with Gen 2 Ryzen, it may not work without a BIOS update beforehand.2. Make sure your RAM is at least CL 14 - CL 16 with 3200 Mhz DDR4 Ram Quad Channel RAM. Threadripper's Infinity Fabric is EXTREMELY memory hungry and without fast ram, the latency can cause bottlenecking issues under heavy rendering loads. You may have to update your BIOS in order to see your RAM hit anywhere near 3200 Mhz, as mine were pinned at 2400Mhz until I did an update that allowed me to hit higher frequencies.3. GET A PROPER COOLER. A lot of companies are lying about their support for the TR4 platform but really only cover about 75% of the CPU. As of now, only the Cooler Master Wraith Ripper and Enermax TR4 can get the job done properly. I opted for the Enermax (1st gen was trash but 2nd gen seems to me holding up) and I'm seeing temps of 55 - 60 under full load.At the end of the day, yes you'll be able to run Fortnight in 5 different instances while streaming in 1440P BUT I hope anyone who's thinking about getting this type of system to start investing in learning CAD, Adobe Premier, ETC. You now have a machine that is designed with work in mind and it would be a shame to not maximize your return from an investment in hardware like this.

","Reviewed in the United States on October 18, 2018"
3,"
Lives up to the hype, in the right circumstances
","

  I am more than satisfied with my TR2950X, but it is not the right processor for everyone.I purchased this processor for 4K+ video editing and color grading, and it delivers without breaking a sweat. I am able to playback 4K, 5K, and most 6K RED footage at Full Res/Premium quality in real time via DaVinci Resolve. In fact, I can play back two streams of 4K/23.98 RED footage in real time, allowing for dissolves and compositing without having to cache/render. It also crushes video encoding and transcoding tasks. This CPU completely demolishes my Xeon based systems, for significantly less money.That said, if you are not pushing this processor to its full potential, it may actually be slower than a more mainstream model. For example, when working in HD, my Avid Symphony systems based on older i7-7700K processors actually outperform this CPU due to higher clock speeds. Also, Threadrippers are harder to cool than more mainstream processors, which can lead to throttling and slower performance, if not planned for accordingly.So, before hopping on the hype train, make sure you have a plan to use the raw power that this processor is capable of, and not let most of it sit idle. However, if you have high level computing tasks, or do a ton of multitasking, then this processor is a fantastic choice.

","Reviewed in the United States on September 2, 2018"
4,"
Over 3000 on cinibench before overclocking! JUST BUY IT! Amazing!
","

  LOVE IT! Incredible for 3D modeling, 4K editing graphic design and GAMING! Over 3000 on cinibench BEFORE overclocking!!!!!!!! Plays games flawlessly in 4K ultra settings paired with 1080ti. Great value compared to similar intel cpus with more cores and HALF the price! Highly, highly, highly recommended for anyone who can squeeze this guy in the budget.

","Reviewed in the United States on December 5, 2018"
5,"
The processor is a great but the shipping needs to handle it as fragile
","

  The processor is great for workstation needs, buyers ensure that you are pairing this with good ram and a m.board.The shipping had the processor dislodge from the threadripper packaging, more care needed in shipping & packaging.

","Reviewed in the United States on September 11, 2018"
6,"
Great power at a great price!
","

  The 2950x is a great CPU at a much better value than the 1950x. The only complaint is that it’s not “easy” to get it to boost to the 4.4ghz advertised single core boost clock in some cases. All in all though, this chip is fast enough, very powerful, and much less power hungry than the previous generation. It performs especially well in both workstation workloads, and gaming applications where you’re gaming, and streaming from a single machine.Further Nerd stuff regarding 4.4ghz boost clock:You will need a good motherboard with a really strong VRM. While the gen 1 TR motherboards will work, it’s better to use some of the x399 boards that were released specifically for the ThreadRipper 2000 series CPUs. In the “overclocking” software Ryzen Master there are 3 factors which the system uses to determine how high to boost the chip. These are all related to how much power the CPU can get. EDC specifically is related to how many amps the motherboard can provide to the chip, and is more often than not the limiting factor. Without a really good motherboard you’ll have to optimize power distribution to things like your memory, and power settings to allow the board to underclock other cores to get it to hit the 4.4ghz single core.

","Reviewed in the United States on November 3, 2018"
7,"
Great CPU, with air cooling!
","

  My ages old (2007) PC finally died (motherboard). I needed a new PC. The research began. I am an old retired science guy. The only games I play are solitaires. I wanted a machine that could handle multi-threaded programs. The 2950X seemed like a good choice, but everybody was ranting about the necessity of liquid coolers. I have seen what leaking liquid coolers can do.I took a leap and ordered the 2950X, the ASRock X399 gaming MB, 64GB DDR4 ram, 2TB PCIe NVMe boot drive, 750W power supply,  RX 580 8G graphics, Fractal R6 case and the Noctua 140mm air cooler.When I first assembled the PC, the CPU ran warm at full load. I ordered the second fan for the cooler and added 2 Noctua fans to the case (bottom) as well as replacing all the Fractal fans. After tweeking the UEFI fan profiles, the unit ran quiet and peaked at 56DegC (Ryzen Master) running both CPU and Graphics full on for an hour. I'm very satisfied with the outcome. The machine is rock stable and quiet. I have no complaints about any of the component parts. Highly recommend.

","Reviewed in the United States on October 20, 2018"
8,"
The Threadripper 2950x a gem and a stubborn install.
","

  This thing is a beast, but its socket isn't the standard push down and your done. At least that's all the personal cpu chips I've had have been. This one it particular has these hex key orange tool that you have to screw in a certain order to get it to seat properly. You have to start it evenly then proceed in order until the top of the screw driver clicks. I followed this and still had to re-seat the thing. Which involved a nervous bread-boarding of my motherboard and connecting things bit by bit as i wasn't sure if the thing was dead. Its working fine now but that process was very stressful as I thought i was going to have to RMA it. That being said the processor works great and render well for stock settings, and you can tune it to work even better with some simple bios tweaks depending on your board. Id still recommend the CPU for the power but be prepare to sweat a bit if this is your first 16+ core computer install. Oh and my board had a foxcon socket type I'm not sure if that matters but I heard the other version is nicer from other reviews. Im running the thermaltake AIO cooler 360mm, as the Threadripper comes with a AIO cooler adapter in the box which widens your choices of cooler.

","Reviewed in the United States on December 12, 2018"
9,"
cool 32 threads
","

  It is spectacular 32 rendering tiles are displayed.It's enough for simulation with the DCC tool.

","Reviewed in the United States on February 22, 2019"
