,title,content,date
0,"
Best entry level gaming Processor
","

  Awesome price point. Awesome power. I paired this with a gigabyte H310M A mother board, super easy install. Make sure you clean off all the garbage thermal paste that comes on the heatsink from the factory. Go buy your own arctic fox or Corsair paste. This CPU perfectly fit my budget build.Other parts if any one is interestedGigabyte H310M A motherboardNvidia GeForce GT 1030 graphics cardAdata SU800 256 SSDPut in a Thermaltake H18Some extra fans and a 450 BR power supplyThe H310M A motherboard does need a BIOS update to be compatible with this CPU. But it will work for intitial startup/updating.

","Reviewed in the United States on March 14, 2019"
1,"
Great 6 core  CPU for gaming!
","

  You save around $100 by going with this processor vs i5-9600k. This i5-9400F is locked and cannot be overclocked. It runs at 2.9ghz and throttles up to 4.0. So far I love it but the overclocking demon in me wishes I would have spent more. When in actuality this CPU rocks and does everything I throw at it with ease. I paired mine with a Gigabyte Z390 UD and some 3200 MHz DDR4 thus speeding up my memory bus! Added an XFX RX580 graphics card and gaming is beautiful! $100 saved will mostly pay for your memory or an SSD or even your liquid cooler that by the way doesn't have to be a double-wide radiator because this CPU is rated at only 65 watts it runs cool so I went with a single radiator and all runs very cool, so if on a budget this CPU is the way to go!

","Reviewed in the United States on June 11, 2019"
2,"
Worked fine out of the box.
","

  Installed and works fine with no problems.  Value is better than anything local I could find.  Turbos up to 4 Ghz during gaming and works great.  I'm not an overclocker so my review doesn't cover that aspect.  Worked fine with my new motherboard and memory.  Wish all my builds had been this easy.

","Reviewed in the United States on March 14, 2019"
3,"
The bargain CPU of choice for those with graphics cards
","

  If you plan to run any sort of graphics card, vs integrated graphics, this CPU just might beat anything anywhere close to the price including AMD's similarly priced but generally more power hungry and lower performing CPUs. This is a basic lesson in thermodynamics. If you have the GPU on the same die it has to compete with the CPU for dumping tens of watts of heat. But if it's just a CPU with no GPU Intel is free to crank things up while keeping the total design power below a modest 65 watts which means quiet cooling and energy efficient computing. In summary 4th gen to 7th gen Intel CPUs were shockingly similar and not very exciting. It took Intel far too long but the 8th and 9th gen versions, with 6+ cores, seriously kick butt and this is a good example.

","Reviewed in the United States on May 6, 2019"
4,"
First Intel Build
","

  Upgraded from a FX-6350, the improvement was amazing as expected from Intel. I dont overclock, so stock cooler will work fine. Used mainly for AAA gaming and light productivity work. I have it paired with a 1080 graphics card.

","Reviewed in the United States on March 11, 2019"
5,"
Six Core can't afford 8 core 9th gen
","

  Brought the i5-9400f processor was kinda a value price to me. Was easy to install but wish they gave us extra thermal paste instead of apply it on the heatsink. Great CPU no integrated graphics. So yes you gotta purchase a graphic card or not sure if some motherboard might have integrated graphic on them (I could be living in fantasy land). Advise make sure you do an extent of research before purchasing this CPU cause older motherboard won't support until you flash the bios to an update revision.

","Reviewed in the United States on April 15, 2019"
6,"
Great Value for Gaming
","

  Great performance of a current generation processor at a bargain. Yes, an i5 is a little slower than the i7, but unless you want to play the newest releases on Ultra graphics, you should be fine. The F series means there is no graphics processing capability for this processor, but as long as you have a graphics card (which you 100% should for gaming) then it works fine, but it almost $100 less than other versions of the i5 9 series. So happy I got this.

","Reviewed in the United States on March 13, 2019"
7,"
This is one of the best cpus you could ever have!
","

  This little guy is very strong. It does way better then my ryzen 5 2600 by far in gaming. Shipping was a little slow. This is one of the best cpus’ I have had in a long time. One of the best ones I have had. Just saying if you want a great cpu at a reasonable price you want this one. Outstanding for any tidal of game you throw at it!!!

","Reviewed in the United States on May 5, 2019"
8,"
Good CPU for the price, even better at $150
","

  Bought this CPU when it was at $175, and it was a pretty good deal, but now its better at $150 as of writing this review.The CPU can handle pretty much everything I try to do, light to medium workloads, gaming gives makes heat up a bit but the stock cooler is great at keeping it under 60 degrees Celsius when gaming. Stock cooler is better than people make it out to be, might not be amazing when compared to other coolers on the market, but its more than enough for me and probably for many people, especially for this CPU that doesn't overclock.Bad thing is that you need a discrete GPU because this CPU does not have integrated graphics, I already knew that and was buying a GPU anyways.Haven't really had any problems with it in the two months I've had it.

","Reviewed in the United States on March 18, 2019"
9,"
Arrived DOA - maybe
","

  I spent ALOT of time confirming that this would work in my application. My PLAN was to buy a cheap CPU for a server I was rebuilding and eventually replace the CPU in a few years when faster CPUs were cheaper.While the 9400F was on the MB approved list the unit would not boot. I swapped MB and go the same result. I then swapped in a known good CPU which did work. I then  bought an i9 9900k which also worked. My MB supplier said the CPU must have been bad. I have my doubts since I have NEVER seen a bad CPU in my life. My guess is that my MB supplier had an error in their bios support list.Either way Amazon was good with the return. Just wish I did not have to spend another $400 for the i9 (although it is BLINDINGLY fast).

","Reviewed in the United States on April 9, 2019"
