,title,content,date
0,"
and am very happy with the switch
","

  I got this when it was still fairly new in the market, and lasted me up until this year (2018), and honestly, still could have gone longer, but I decided to upgrade to a ssd, and with it all new processor and ram. I went to an amd ryzen 1700, and am very happy with the switch, despite how reliable and great quality this Intel processor is

","Reviewed in the United States on July 2, 2018"
1,"
Sandybridge = godly
","

  This is the best Intel CPU ever built and still holds up to this day.  Overclocks extremely easy if you have a half decent cooler.  I can hit 4.6ghz on just a 30 dollar Coolermaster Evo Heatsink while staying below 70c under full prime95 stress test.  You put an even bulkier cooler on this and you could hit even lower temps, but the thing is, you really don't want to put more than 1.5 volts into it 24/7, so staying below 4.6ghz is the best idea.  I like to keep mine below 1.45 volts.

","Reviewed in the United States on September 20, 2020"
2,"
Excellent, Stock Fan is Fine, Good Power & Heat, Love the HD Graphics 3000
","


  Your browser does not support HTML5 video.


   I could not be happier with this CPU.  I really wanted HD Graphics 3000 that is built into the chip, which (1) has built in optimizations for HD video playback and conversions, (2) can offer a lower power usage than some power hungry graphics cards (less power, less cost, less heat, less noise from less heat to exhaust, and more reliability from lower heat), (3) is better than many entry level discrete graphics cards.  Of course it doesn't really compare to the current generation of expensive high end graphics cards that cost almost as much as this chip, but it gives others a run for their money.  I really wanted to make sure that viewing, editing, and converting video from my HD video camera was as optimized as possible, which is what HD Graphics 3000 can uniquely offer by being optimized right on the CPU.  In terms of power, my system idles at about 50W.The stock fan provided with the retail version is all that you need if you are not overclocking and have a case with decent airflow, like the 

Cooler Master Storm Enforcer

  .  The desktop tools monitor (from my 

Intel DZ68BC motherboard

  ) always shows that I am running at the low end of heat ranges for the CPU and temperature in my case.  Heat hasn't remotely been a problem.  I don't think the fan is whisper quiet though.  However, there 2 important things to mention. (1) The power cable comes wrapped around the fan in what looks like cable management that you don't have to unwrap all the way.  But the problem is the cable actually comes into contact with the fan blades at a few places that you might not notice at first.  This would make noise, cause cooling problems, or burn up the chip if you don't unwrap it.  I thought at first I could just uncoil a tiny bit to plug to the connector right next to it, but I am really glad I caught that.  The instructions made no mention.  (2) It didn't snap easily into place like the instructions say.  I had to use a screwdriver to turn the nuts in the end on a few posts, but overall was easy, but I had to use a screwdriver despite instructions that said otherwise.The 2700K versus this 2600K offers only 100MHz more, that's all, and is only a fractional improvement.  So you just need to calculate the cost difference between the 2700K and 2600K and see if that is worth a measly 100MHz or not.  If only a very small cost difference, I would definitely go with the 2700K.  If a moderate or large difference, I wouldn't pay too much for only 100MHz.  When I bought my i7-2600K, I would have had to pay 22% more to get far less of a gain in processing power.  I have zero regrets with going with the i7-2600K and not waiting around for the 2700K to be a perfect value.

","Reviewed in the United States on July 2, 2018"
3,"
Amazing power in a desktop PC!
","

  This processor is simply astounding.  Period.  I've run several benchmarks with it and have been totally satsified with the results.  Forget i7 950's or even the ridiculous 980X; this processor shreds them all in most apps.  It is also fairly energy efficient and is the OC champion of the day.  Seriously, overclocking this processor is as easy as changing the multiplier in the bios to whatever you want (mine is set at x44 giving me 4533MHz).  Add a decent cpu HSF and you can easily see 4.5-5.2 GHz on air!!  These 32Nm chips are seriously quick and the Ivy Bridge processors of later this year will fit in the 1155 socket.  Now is the time to get in on the Sandy Bridge bandwagon for sure!Pors:  Amazing stock speeds with incredibly simple overclock ability/Energy efficient/Low temps/Next generation architecture/AMD who???Cons:  None that I can think of...Other notes:  Buy the less expensive i5 2500k if you do not plan on heavy video encoding etc.  The 2600k's feature set is pretty much useless for pure-gaming performance....

","Reviewed in the United States on July 5, 2016"
4,"
Great CPU, Super Fast, but might be overkill for some
","

  I have to start by saying that this Intel processor is just super fast, REALLY EASY to overclock even your grandma can do it (lol search for the video in youtube) and depending on how you see it, the price is awesome. On synthetic benchmarks it will perform *almost* as well as the infamous i7-990x which is a six core CPU and it costs $999!!! The i7-2600k comes with regular (and cheap IMO) cpu fan cooler, but it does the job, if you are not planning to overclock at the beginning just use the stock cpu fan. This processor is for enthusiast, hardcore computer builders, people who run virtual computers, and photo video editing. If you are a gamer only or planning to use the computer for regular basic stuff, please save some money and buy the i5-2500k instead. 90% of your computer needs will be pretty much the same with an 2500k which can be overclocked and it also has 4 cores (but no hyperthreading). You will save +$100 which can be put towards an SSD or a good video card.Pros:Super FastQuad Core  8 Threads with HyperThreading)Easy to overclock, all I have to do with my asRock gen 3 mobo is to enable ""auto overclock"" to 4.4 ghz and thas it.Temps with stock fan: 34c idle, 82c load using Intel Burn, NOT overclocked (coolmaster enforcer case, ambient temp: 80f-85f)Temps with Corsair H60: 29c idle, 70c load, overclocked to 4.4 ghzThis CPU will most likely never be your ""bottleneck"".Integrated Intel HD 3000 graphics will do an awesome work with your basic graphic needs.Cons:Might not be the most for your money. again 90% of people will be better with an i5-2500kCheap Fan, you need to buy an aftermarket cooler to overclock it.Neutral:VT-d was disabled from the K version, you dont know what is it? then you dont need it :)Conclusion, you want to have the fastest computer, show off your friends, overclock, and money is not an issue? Get this processor. If you are in a budget, dont care about having a bigger ""e-p3n1s"", you game only, or basic stuff, get the i5-2500k

","Reviewed in the United States on March 31, 2012"
5,"
Fast and cool
","

  I rarely write reviews.  I figure there are plenty of folks that do and who cares what I have to say?  But this is one product that definitely needs to be mentioned.  I needed (er, wanted) to update a computer and the cost of the 920/960 cpus were so close in price I thought why not try out the Sandy Bridge?  Granted, it required me to update my motherboard too but, computers don't live forever right? ;-)So, why all the fuss?  First of all, forget using the stock cooler.  I reused a Cooler Master Gemini IIs cooler from the previous i7/960 build I was replacing.  When I got it all back together, MB,CPU and RAM (new), boot drive, PS and case (reused) along with the cooler it powered on 1st time.  After updating the new MB drivers I ran the Windows experience and went from/to:Processor 7.6 / 7.8RAM  7.6 / 7.8Graphics  7.2 / 7.4Gaming  7.2 / 7.4HD  6.9 / 6.9So, not a HUGE jump coming from a 960(still plenty of good initial benchmarks) but the kicker is this runs (with the exact same cooler)11c cooler!  Previously, @ idle it would sit around 50c.  I have been running this overnight and it is currently at @20% usage and barely hits high 40s in a room that is 25c/77f.I am still in the process of running other benchmarks but for the price this CPU gets it done.

Intel Core i7 Processor i7-2600K 3.4GHz 8MB LGA1155 CPU BX80623I72600K","Reviewed in the United States on March 20, 2011"
6,"
An extremely energy-efficient and fast processor even in non-overclocked setting
","

  The Intel Core i7 2600k is an outstanding processor. It's extremely good for multitasking such as ripping videos and other CPU intensive tasks at the same time. For the amount of tasks load, it appears to use less electricity than previous generations of CPU. But in order to use this second-generation i processor you would have to upgrade the motherboard as well because it uses socket 1155. It's not compatible with the first generation socket 1156. Both socket 1156 and 1155 uses the same heatsink and fan configuration and fit, therefore can be reused on this new platform. This platform uses DDR3 exclusively.This processor is extremely good at idle power usage in it's default non-overclocked state. The motherboard that I've bought contains the Intel H67 chipset and therefore doesn't allow the multiplier to go beyond 34 therefore does not allow overclocking. This doesn't matter to me since the processor even in its stock state is extremely fast and extremely energy-efficient to boot. The reason I bought the 2600k which is essentially similar over the 2600 is because it no doubt that he came from a higher bin up at Intel's fab.This is what I think, the 2600k version is better and more than likely came from a higher Intel bin number lot. This put it this way, when Intel manufacture processor within a given family on a fab. Each CPU chip is fully tested at different speeds and functions. The best ones are reserved for the highest speed and the lower speed ones are place in bins lower down in order. Some of the chips that has defective sections have those sections and more turned off and configured as a different model such as ones with less cache memory. Some of those lesser chips may even have some functions permanently disabled and sold as cheaper CPUs models such as with and without Hyperthreading even though they came off the same fab.This model also has a better onboard graphics engine than the non-k version. This feature is not important for me since I use a separate graphics card. This CPU works like a charm and approximately three times faster than my previous one which is Intel Core2 Duo E8500 clocked at 3.2 GHz.

","Reviewed in the United States on September 1, 2011"
7,"
Love this Processor
","

  Intel makes a great processor again.  I've been reading a lot about Intel processors.  I wanted to buy the new i7 2700K, but very happy with the 2600K.  It's amazing.  This is my first Intel build.  I'm so, so very happy.  Love this processor combined with my Asus mother board.Asus P8Z68 Deluxe/Gen 3Intel Core i7 2600KEVGA GTX560 video cardCorsair TX750 power supplyCorsair Vengeance 16GBOCZ Vertex 2 Sata II driveCooler Master Hyper 212 Plus (duel fans)(replacment - Noctua NH-C14)Windows 7 OEM system builder packCM Storm Trooper caseAmazon sells great products, has excellent customer service. Try to make your purchases through Amazon.  They are great.  Amazon always ships quickly and packs very well.Update:  My i7 2600k temperature on my Asus board idled at 31c - 36c and when playing Battlefield3 temp got as high as 59c - 62c using a Cooler Master 212 plus.  I changed the cpu fan to a Noctua NH-C14 and now my cpu temps idle at 19c - 24c, gaming at 36c - 46c with Artic Silver thermapaste in my Cooler Master Storm.  Running two fans set at exhaust and four fans on intake.  Great CPU. Has never froze.  I did notice cpu core speed runs between 1600 and 3900.  At 3900, I get my highest temps playing over two hours.  Mobo running at 23c.  Rises to 28c while playing games.  Living in Hawaii not running air con the case gets warm.  I would keep in mind your environment when buying a case and fans for this awesome CPU.

","Reviewed in the United States on May 19, 2011"
8,"
Fast and stable - typical Intel quality
","

  I'm a long-time Intel processor fan, and the i7-2600K no doubt continues that tradition.  I don't have anything to add, from a technical perspective, that hasn't already been covered here, so I'll focus on a few things that matter to me.First, I don't keep up with the latest, greatest in computer hardware these days.  I needed a new workstation for the house, and this processor looked like it would fit the bill.  So far, I've not been disappointed.  When paired with a SSD, my system flies.  CPU intensive tasks like transcoding videos now take a fraction of the time they did on my previous Intel Q6600.I know the stock Intel CPU cooler isn't very well respected by most enthusiasts, but to-date, it has met my needs.  After hours of gaming or transcoding, I'm seeing a maximum temperature of around 45C using the stock cooler.  To be fair, I've not tried overclocking this processor yet, and if and when I do, my CPU cooling needs may change.  But, I think that provided you have a good case with a good cooling solution working there, the Intel CPU cooler should at least get you by for a while.Anyway, I'm quite happy with this purchase.  As an ""old"" IT guy, this processor has been a breath of fresh air.  The prospect of overclocking this thing has me looking forward to tinkering with hardware again for the first time in a very long time.Regardless of what you're planning to do with this CPU, it is the typical high-quality you'd expect from Intel.  I'd have no reservations in recommending this to anybody.

","Reviewed in the United States on December 27, 2011"
9,"
i7 2600k: Just about the fastest processor that you can actually afford!
","

  This processor simply SCREAMS. I think I might actually be able to hear it?No, really, it's that fast. I upgraded from a 3.9ghz q9550 quad-core, and the transition is AMAZING. My q9550 @ 3.9ghz was about equivalent to an X6 1090t at stock clocks... however, this i7 seems to have doubled my computer's responsiveness. So, that means it's very, very, very fast. I'll post some hard data benchmarks on here when I get my cooling system optimized.So far, I've seen anywhere from a 10% to a 40% increase in gaming performance, depending on how CPU-reliant the game is. I've nearly doubled my FPS in Assassin's Creed Brotherhood (very CPU-dependent) and GTA4 (also very CPU-dependent), while I got a modest 5-15FPS boost in Crysis 2 maingame (not-so-CPU dependent).The good news is that this processor only hits about 60*C with a 4.2ghz overclock, using a modest watercooler and a good case. I have a Corsair H60, and I'm seeing about 60*C. I went pretty light on the thermal paste (Arctic Silver), but adding more won't change too much. Make sure your system is ready to handle the heat. I've maxed out at ~4.7ghz, but decided not to tweak voltage over 1.3V.Pros: + Unbelievably, freakishly fast.  + Actually pretty dang efficient (~3-5 watts idle, 70-80w max load).  + Very overclockable.  + Runs relatively cool.Cons: - Some applications are too old-fashioned to use Intel Hyper-threading. Bummer.- Intel HD graphics are useless. AMD APUs actually have a GPU.- Doesn't wake me up in the morning and make my breakfast like a good little computer.- Boxed cooler just takes up space (wouldn't it be awesome if you could save $15 and just buy the processor?).In the meantime, I strongly suggest getting this CPU if you have the need or desire to build a killer machine. If you don't want to break the bank and get the best machine out there, check out the i5 2500k, which is also a totally killer processor.Current Setup:i7 2600k @ 4.2ghz (100.0fsb x 42mult)Corsair H60 WatercoolerASUS P67 Sabertooth REV.B38GB OCZ DDR3 1333mhzEVGA GTX 470 (JET ENGINE)Antec 1200 PC Case (Awesome)Cooler Master 1000W PSUWD 500GB 7200RPM + WD 1TB 7200RPM HDDs

","Reviewed in the United States on January 2, 2012"
