,yyyymm,length,word_count
0,201105,99,18
1,201106,41,7
2,201107,162,25
3,201109,116,19
4,201110,826,151
5,201111,214,43
6,201112,1028,189
7,201201,3965,716
8,201202,2636,491
9,201203,2246,426
10,201204,1874,342
11,201205,1379,252
12,201206,2577,448
13,201207,7772,1372
14,201208,4160,735
15,201209,4330,594
16,201210,3047,565
17,201211,4554,838
18,201212,3295,585
19,201301,6046,1066
20,201302,10094,1878
21,201303,5985,1029
22,201304,4451,811
23,201305,4488,730
24,201306,8555,1511
25,201307,4041,718
26,201308,8078,1403
27,201309,7343,1262
28,201310,24886,4434
29,201311,17184,3090
30,201312,24253,4445
31,201401,18209,3137
32,201402,28439,5005
33,201403,23797,4308
34,201504,1129,212
35,201505,1761,324
36,201506,2296,412
37,201509,187883,33635
38,201510,244640,43506
39,201511,370171,65415
40,201512,446279,79716
41,201601,329384,58564
42,201602,373010,66095
43,201603,393510,69959
44,201604,335866,59943
45,201605,442787,77114
46,201606,1147556,202001
47,201607,1339922,235213
48,201608,1133033,198871
49,201609,807006,144313
50,201610,635540,113441
51,201611,561834,100402
52,201612,865776,152931
53,201701,827124,145619
54,201702,1169932,199856
55,201703,2618616,456565
56,201704,1893977,329682
57,201705,1465145,256737
58,201706,1282392,227580
59,201707,1307738,226762
60,201708,1552670,269980
61,201709,938885,163650
62,201710,828973,143867
63,201711,866024,149491
64,201712,772400,134146
65,201801,786905,136158
66,201802,682230,119352
67,201803,595333,102040
68,201804,956450,166725
69,201805,1131159,197884
70,201806,989758,173208
71,201807,1151379,199451
72,201808,422082,73941
73,201809,1117365,193059
74,201810,1452461,253358
75,201811,1762362,300899
76,201812,1836302,320569
77,201901,1977413,344792
78,201902,1585547,277271
79,201903,1560804,272055
80,201904,1362411,234782
81,201905,1633830,282562
82,201906,1898983,334383
83,201907,6025486,1045121
84,201908,3517243,611253
85,201909,2647457,463521
86,201910,2203951,385354
87,201911,2522661,428500
88,201912,3165548,552185
89,202001,2757143,479265
90,202002,2260810,400565
91,202003,1966395,348157
92,202004,2252826,396928
93,202005,3033059,534777
94,202006,2056459,359785
95,202007,1767047,309048
96,202008,1761094,310952
97,202009,1694973,302102
