,Month,Unigram Top 30,Bigram Top 20,Trigram Top 10,Trigram Top 1
0,201703,"[('star', 20), ('five', 14), ('cpu', 12), ('best', 8), ('great', 6), ('cooler', 6), ('one', 6), ('ryzen', 4), ('intel', 4), ('amd', 4), ('recommend', 4), ('beast', 4), ('like', 4), ('spire', 4), ('price', 4), ('product', 4), ('cool', 4), ('get', 4), ('processor', 4), ('premium', 4), ('absolutely', 2), ('phenomenal', 2), ('king', 2), ('core', 2), ('better', 2), ('consumption', 2), ('old', 2), ('total', 2), ('disaster', 2), ('screwed', 2)]","[('five stars', 14), ('one star', 6), ('spire cooler', 4), ('absolutely phenomenal', 2), ('phenomenal ryzen', 2), ('ryzen king', 2), ('cores better', 2), ('better consumption', 2), ('consumption old', 2), ('old intel', 2), ('total disaster', 2), ('disaster amd', 2), ('amd screwed', 2), ('bought september', 2), ('september still', 2), ('still recommend', 2), ('solid cpu', 2), ('real workhorse', 2), ('last long', 2), ('long time', 2)]",,"[('absolutely phenomenal ryzen', 2), ('phenomenal ryzen king', 2), ('cores better consumption', 2), ('better consumption old', 2), ('consumption old intel', 2), ('total disaster amd', 2), ('disaster amd screwed', 2), ('bought september still', 2), ('september still recommend', 2), ('last long time', 2)]"
1,201704,"[('great', 14), ('star', 12), ('five', 10), ('best', 10), ('cpu', 8), ('amd', 6), ('processor', 6), ('support', 6), ('product', 6), ('bang', 4), ('buck', 4), ('still', 4), ('price', 4), ('cooler', 4), ('value', 4), ('win', 2), ('silicon', 2), ('lottery', 2), ('easily', 2), ('overclocked', 2), ('ghz', 2), ('totally', 2), ('satisfied', 2), ('speed', 2), ('ryzen', 2), ('truly', 2), ('rock', 2), ('using', 2), ('upgrade', 2), ('time', 2)]","[('five stars', 10), ('bang buck', 4), ('great cpu', 4), ('great processor', 4), ('win silicon', 2), ('silicon lottery', 2), ('easily overclocked', 2), ('overclocked ghz', 2), ('totally satisfied', 2), ('satisfied speed', 2), ('amd ryzen', 2), ('ryzen truly', 2), ('truly rocks', 2), ('rocks great', 2), ('great bang', 2), ('still using', 2), ('using upgrade', 2), ('upgrade time', 2), ('cpu price', 2), ('price free', 2)]",,"[('win silicon lottery', 2), ('easily overclocked ghz', 2), ('totally satisfied speed', 2), ('amd ryzen truly', 2), ('ryzen truly rocks', 2), ('truly rocks great', 2), ('rocks great bang', 2), ('great bang buck', 2), ('still using upgrade', 2), ('using upgrade time', 2)]"
2,201705,"[('great', 14), ('cpu', 8), ('best', 6), ('processor', 6), ('five', 6), ('star', 6), ('could', 4), ('need', 4), ('fast', 4), ('love', 4), ('gaming', 4), ('good', 4), ('bang', 4), ('amd', 4), ('wraith', 4), ('chip', 2), ('hoped', 2), ('perfect', 2), ('thing', 2), ('smoking', 2), ('workstation', 2), ('experience', 2), ('far', 2), ('hoping', 2), ('fine', 2), ('tuning', 2), ('remedy', 2), ('issue', 2), ('fantastic', 2), ('son', 2)]","[('great processor', 6), ('five stars', 6), ('great great', 4), ('best bang', 4), ('best chip', 2), ('chip could', 2), ('could hoped', 2), ('perfect need', 2), ('thing smoking', 2), ('smoking fast', 2), ('love cpu', 2), ('workstation cpu', 2), ('cpu gaming', 2), ('gaming cpu', 2), ('good experiences', 2), ('experiences far', 2), ('hoping fine', 2), ('fine tuning', 2), ('tuning remedy', 2), ('remedy issues', 2)]",,"[('best chip could', 2), ('chip could hoped', 2), ('great great great', 2), ('thing smoking fast', 2), ('workstation cpu gaming', 2), ('cpu gaming cpu', 2), ('good experiences far', 2), ('hoping fine tuning', 2), ('fine tuning remedy', 2), ('tuning remedy issues', 2)]"
3,201706,"[('great', 14), ('processor', 8), ('buy', 8), ('five', 8), ('star', 8), ('included', 6), ('amd', 6), ('everything', 4), ('cooler', 4), ('line', 4), ('match', 4), ('cpu', 4), ('price', 4), ('reliable', 2), ('handled', 2), ('thrown', 2), ('favor', 2), ('never', 2), ('look', 2), ('back', 2), ('would', 2), ('installed', 2), ('using', 2), ('best', 2), ('bang', 2), ('buck', 2), ('since', 2), ('overclockable', 2), ('thing', 2), ('blow', 2)]","[('five stars', 8), ('great reliable', 2), ('reliable processor', 2), ('processor handled', 2), ('handled everything', 2), ('everything thrown', 2), ('favor buy', 2), ('buy never', 2), ('never look', 2), ('look back', 2), ('great processor', 2), ('processor would', 2), ('would buy', 2), ('installed using', 2), ('using included', 2), ('included cooler', 2), ('best bang', 2), ('bang buck', 2), ('buck line', 2), ('line since', 2)]",,"[('great reliable processor', 2), ('reliable processor handled', 2), ('processor handled everything', 2), ('handled everything thrown', 2), ('favor buy never', 2), ('buy never look', 2), ('never look back', 2), ('great processor would', 2), ('processor would buy', 2), ('installed using included', 2)]"
4,201707,"[('star', 42), ('five', 34), ('cpu', 32), ('great', 20), ('ryzen', 16), ('price', 14), ('amd', 12), ('like', 12), ('processor', 12), ('good', 12), ('love', 10), ('best', 10), ('amazing', 10), ('performance', 10), ('run', 10), ('cooler', 8), ('awesome', 8), ('buy', 8), ('money', 8), ('excellent', 8), ('gaming', 8), ('bang', 6), ('buck', 6), ('fantastic', 6), ('power', 6), ('cool', 6), ('better', 6), ('speed', 6), ('well', 6), ('work', 6)]","[('five stars', 34), ('bang buck', 6), ('four stars', 6), ('around cpu', 4), ('money buy', 4), ('great processor', 4), ('love love', 4), ('great budget', 2), ('budget vr', 2), ('pinch beat', 2), ('strong solid', 2), ('solid budget', 2), ('budget cpu', 2), ('love amd', 2), ('amd done', 2), ('done hole', 2), ('hole ryzen', 2), ('ryzen lineup', 2), ('feels like', 2), ('like stealing', 2)]",,"[('great budget vr', 2), ('strong solid budget', 2), ('solid budget cpu', 2), ('love amd done', 2), ('amd done hole', 2), ('done hole ryzen', 2), ('hole ryzen lineup', 2), ('feels like stealing', 2), ('like stealing amd', 2), ('supplied cpu cooler', 2)]"
5,201708,"[('star', 26), ('great', 20), ('five', 20), ('good', 12), ('cpu', 12), ('gaming', 12), ('processor', 10), ('best', 10), ('core', 8), ('price', 8), ('one', 8), ('fast', 8), ('chip', 8), ('nice', 6), ('intel', 6), ('get', 6), ('amd', 6), ('multitasking', 6), ('far', 6), ('little', 4), ('cheap', 4), ('cool', 4), ('thread', 4), ('worth', 4), ('love', 4), ('ryzen', 4), ('streaming', 4), ('e', 4), ('amazing', 4), ('powerful', 4)]","[('five stars', 20), ('great gaming', 8), ('cores threads', 4), ('gaming streaming', 4), ('one star', 4), ('best best', 4), ('great even', 2), ('even able', 2), ('able little', 2), ('nice functional', 2), ('good little', 2), ('little cpu', 2), ('works great', 2), ('great light', 2), ('light gaming', 2), ('decent performer', 2), ('cheap unlocked', 2), ('unlocked cores', 2), ('cores price', 2), ('doubled frame', 2)]",,"[('great even able', 2), ('even able little', 2), ('good little cpu', 2), ('works great light', 2), ('great light gaming', 2), ('cheap unlocked cores', 2), ('unlocked cores price', 2), ('doubled frame rates', 2), ('great compared intel', 2), ('wallet dancing victory', 2)]"
6,201709,"[('star', 32), ('great', 28), ('five', 28), ('cpu', 8), ('amd', 8), ('performance', 8), ('processor', 8), ('work', 8), ('budget', 6), ('cooler', 6), ('gaming', 6), ('buy', 6), ('beast', 6), ('would', 4), ('value', 4), ('best', 4), ('upgrade', 4), ('using', 4), ('finally', 4), ('stock', 4), ('holy', 4), ('thing', 4), ('love', 4), ('run', 4), ('threadripper', 4), ('need', 4), ('v', 4), ('intel', 4), ('might', 4), ('one', 4)]","[('five stars', 28), ('great performance', 6), ('one star', 4), ('solid cpu', 2), ('cpu budget', 2), ('budget limit', 2), ('would recommend', 2), ('recommend budget', 2), ('budget builds', 2), ('guy said', 2), ('said exist', 2), ('return form', 2), ('form amd', 2), ('amd killer', 2), ('killer value', 2), ('value great', 2), ('wraith cooler', 2), ('cooler amazing', 2), ('amazing degrees', 2), ('degrees c', 2)]",,"[('solid cpu budget', 2), ('cpu budget limit', 2), ('would recommend budget', 2), ('recommend budget builds', 2), ('guy said exist', 2), ('return form amd', 2), ('form amd killer', 2), ('amd killer value', 2), ('killer value great', 2), ('value great performance', 2)]"
7,201710,"[('star', 22), ('five', 14), ('great', 12), ('cpu', 8), ('nice', 6), ('price', 6), ('four', 6), ('best', 6), ('processor', 6), ('ryzen', 4), ('thing', 4), ('market', 4), ('powerful', 4), ('happy', 4), ('cou', 2), ('two', 2), ('silicon', 2), ('lottery', 2), ('got', 2), ('almost', 2), ('stable', 2), ('good', 2), ('love', 2), ('bad', 2), ('as', 2), ('lil', 2), ('chip', 2), ('reading', 2), ('watching', 2), ('least', 2)]","[('five stars', 14), ('four stars', 6), ('nice price', 4), ('two stars', 2), ('silicon lottery', 2), ('lottery got', 2), ('got almost', 2), ('almost stable', 2), ('good cpu', 2), ('thing great', 2), ('great love', 2), ('bad ass', 2), ('ass lil', 2), ('lil chip', 2), ('reading watching', 2), ('watching least', 2), ('least reviews', 2), ('best processor', 2), ('processor market', 2), ('awesome upgrade', 2)]",,"[('silicon lottery got', 2), ('lottery got almost', 2), ('got almost stable', 2), ('thing great love', 2), ('bad ass lil', 2), ('ass lil chip', 2), ('reading watching least', 2), ('watching least reviews', 2), ('best processor market', 2), ('best option price', 2)]"
8,201711,"[('star', 16), ('cpu', 12), ('five', 12), ('value', 10), ('great', 8), ('best', 6), ('budget', 6), ('good', 6), ('processor', 6), ('excellent', 6), ('work', 6), ('even', 4), ('build', 4), ('nice', 4), ('performance', 4), ('fast', 4), ('cooler', 4), ('amd', 4), ('four', 4), ('video', 4), ('amazing', 2), ('definitely', 2), ('buy', 2), ('funciona', 2), ('bien', 2), ('esta', 2), ('económico', 2), ('better', 2), ('overclocked', 2), ('chip', 2)]","[('five stars', 12), ('best value', 4), ('great value', 4), ('four stars', 4), ('excellent cpu', 4), ('best budget', 2), ('budget cpu', 2), ('amazing cpu', 2), ('cpu definitely', 2), ('definitely buy', 2), ('funciona bien', 2), ('bien esta', 2), ('esta económico', 2), ('good processor', 2), ('great budget', 2), ('budget even', 2), ('even better', 2), ('better overclocked', 2), ('value chip', 2), ('chip gaming', 2)]",,"[('best budget cpu', 2), ('amazing cpu definitely', 2), ('cpu definitely buy', 2), ('funciona bien esta', 2), ('bien esta económico', 2), ('great budget even', 2), ('budget even better', 2), ('even better overclocked', 2), ('best value chip', 2), ('value chip gaming', 2)]"
9,201712,"[('great', 30), ('cpu', 16), ('star', 16), ('five', 14), ('price', 12), ('processor', 10), ('performance', 10), ('best', 10), ('budget', 8), ('good', 8), ('gaming', 8), ('money', 8), ('value', 6), ('threadripper', 6), ('dont', 4), ('ryzen', 4), ('like', 4), ('stock', 4), ('build', 4), ('fast', 4), ('nice', 4), ('pc', 4), ('love', 4), ('chip', 4), ('work', 4), ('got', 4), ('ghz', 4), ('installed', 4), ('update', 4), ('amd', 4)]","[('five stars', 14), ('great cpu', 6), ('performance price', 4), ('nice cpu', 4), ('great budget', 4), ('budget cpu', 4), ('best performance', 4), ('thread excellent', 2), ('excellent bundled', 2), ('bundled unlocked', 2), ('unlocked processor', 2), ('processor great', 2), ('great chances', 2), ('dont let', 2), ('let price', 2), ('price fool', 2), ('fool ryzen', 2), ('ryzen overclocks', 2), ('overclocks like', 2), ('like beast', 2)]",,"[('thread excellent bundled', 2), ('excellent bundled unlocked', 2), ('bundled unlocked processor', 2), ('unlocked processor great', 2), ('processor great chances', 2), ('dont let price', 2), ('let price fool', 2), ('price fool ryzen', 2), ('fool ryzen overclocks', 2), ('ryzen overclocks like', 2)]"
