,Month,Unigram Top 30,Bigram Top 20,Trigram Top 10,Trigram Top 1
0,201101,"[('worth', 2), ('get', 2), ('sandy', 2)]","[('worth get', 2), ('get sandy', 2)]",,"[('worth get sandy', 2)]"
1,201102,"[('wow', 4), ('upgraded', 2), ('pentium', 2), ('three', 2), ('year', 2), ('counting', 2), ('excellent', 2), ('processor', 2), ('photoshop', 2), ('element', 2), ('processing', 2), ('probably', 2), ('overbought', 2), ('love', 2), ('ghz', 2), ('chip', 2), ('jump', 2), ('performance', 2), ('great', 2), ('mid', 2), ('tier', 2), ('gaming', 2), ('rig', 2)]","[('upgraded pentium', 2), ('pentium wow', 2), ('wow wow', 2), ('three years', 2), ('years counting', 2), ('excellent processor', 2), ('processor photoshop', 2), ('photoshop elements', 2), ('elements processing', 2), ('probably overbought', 2), ('overbought love', 2), ('ghz chip', 2), ('chip jump', 2), ('jump performance', 2), ('performance great', 2), ('great mid', 2), ('mid tier', 2), ('tier gaming', 2), ('gaming rig', 2)]",,"[('upgraded pentium wow', 2), ('pentium wow wow', 2), ('three years counting', 2), ('excellent processor photoshop', 2), ('processor photoshop elements', 2), ('photoshop elements processing', 2), ('probably overbought love', 2), ('ghz chip jump', 2), ('chip jump performance', 2), ('jump performance great', 2)]"
2,201103,"[('fast', 2), ('cool', 2), ('five', 2), ('star', 2), ('great', 2), ('need', 2), ('otherwise', 2), ('watch', 2), ('ram', 2), ('speed', 2), ('loved', 2), ('time', 2), ('everytime', 2)]","[('fast cool', 2), ('five stars', 2), ('great need', 2), ('need otherwise', 2), ('watch ram', 2), ('ram speeds', 2), ('loved time', 2), ('time everytime', 2)]",,"[('great need otherwise', 2), ('watch ram speeds', 2), ('loved time everytime', 2)]"
3,201104,"[('good', 2), ('venue', 2), ('great', 2), ('cpu', 2), ('cooler', 2)]","[('good venues', 2), ('great cpu', 2), ('cpu cooler', 2)]",,"[('great cpu cooler', 2)]"
4,201105,"[('processor', 4), ('cpu', 4), ('fast', 4), ('love', 2), ('fantastic', 2), ('even', 2), ('overlock', 2), ('great', 2), ('sandy', 2), ('bridge', 2), ('blazing', 2), ('easy', 2), ('overclock', 2), ('beaware', 2), ('might', 2), ('missing', 2), ('five', 2), ('star', 2), ('handle', 2), ('anything', 2), ('absolutely', 2), ('amazing', 2), ('fan', 2), ('nice', 2), ('good', 2), ('cheap', 2), ('used', 2), ('virtualization', 2)]","[('love processor', 2), ('fantastic cpu', 2), ('cpu even', 2), ('even overlock', 2), ('sandy bridge', 2), ('blazing fast', 2), ('fast easy', 2), ('easy overclock', 2), ('beaware cpu', 2), ('cpu might', 2), ('might missing', 2), ('five stars', 2), ('handle anything', 2), ('absolutely amazing', 2), ('good cheap', 2), ('cheap processor', 2), ('processor used', 2), ('used virtualization', 2)]",,"[('fantastic cpu even', 2), ('cpu even overlock', 2), ('blazing fast easy', 2), ('fast easy overclock', 2), ('beaware cpu might', 2), ('cpu might missing', 2), ('good cheap processor', 2), ('cheap processor used', 2), ('processor used virtualization', 2)]"
5,201106,"[('fast', 4), ('powerful', 2), ('processor', 2), ('scream', 2), ('super', 2), ('speedy', 2), ('gonzalez', 2), ('five', 2), ('star', 2), ('great', 2)]","[('powerful processor', 2), ('super fast', 2), ('speedy gonzalez', 2), ('five stars', 2)]",,[]
6,201107,"[('great', 4), ('processor', 4), ('thing', 4), ('say', 4), ('nothing', 2), ('good', 2), ('fly', 2), ('five', 2), ('star', 2), ('still', 2), ('fast', 2), ('price', 2), ('bad', 2), ('cooler', 2)]","[('great processor', 4), ('processor nothing', 2), ('nothing good', 2), ('good things', 2), ('things say', 2), ('thing flies', 2), ('five stars', 2), ('still fast', 2), ('fast price', 2), ('processor bad', 2), ('bad cooler', 2)]",,"[('great processor nothing', 2), ('processor nothing good', 2), ('nothing good things', 2), ('good things say', 2), ('still fast price', 2), ('great processor bad', 2), ('processor bad cooler', 2)]"
7,201108,"[('cpu', 6), ('currently', 2), ('best', 2), ('chip', 2), ('money', 2), ('intel', 2), ('core', 2), ('processor', 2), ('used', 2), ('build', 2), ('digital', 2), ('audio', 2), ('workstation', 2), ('fast', 2), ('good', 2), ('yet', 2), ('seal', 2), ('box', 2), ('broken', 2), ('heatsink', 2), ('cantain', 2), ('amazing', 2), ('great', 2), ('htpc', 2)]","[('currently best', 2), ('best chip', 2), ('chip money', 2), ('intel core', 2), ('core processor', 2), ('used build', 2), ('build digital', 2), ('digital audio', 2), ('audio workstation', 2), ('fast good', 2), ('good yet', 2), ('cpu seal', 2), ('seal box', 2), ('box broken', 2), ('broken heatsink', 2), ('heatsink cantain', 2), ('amazing cpu', 2), ('great cpu', 2), ('cpu htpc', 2)]",,"[('currently best chip', 2), ('best chip money', 2), ('intel core processor', 2), ('used build digital', 2), ('build digital audio', 2), ('digital audio workstation', 2), ('fast good yet', 2), ('cpu seal box', 2), ('seal box broken', 2), ('box broken heatsink', 2)]"
8,201109,"[('processor', 10), ('cpu', 4), ('extremely', 2), ('fast', 2), ('even', 2), ('setting', 2), ('beautiful', 2), ('four', 2), ('star', 2), ('best', 2), ('price', 2), ('range', 2), ('excellent', 2), ('overclocks', 2), ('easily', 2), ('intel', 2), ('core', 2), ('phenomenal', 2), ('good', 2), ('end', 2), ('life', 2), ('hardly', 2)]","[('extremely fast', 2), ('fast processor', 2), ('processor even', 2), ('even setting', 2), ('beautiful processor', 2), ('four stars', 2), ('best cpu', 2), ('cpu price', 2), ('price range', 2), ('excellent cpu', 2), ('cpu overclocks', 2), ('overclocks easily', 2), ('intel core', 2), ('core processor', 2), ('phenomenal processor', 2), ('good processor', 2), ('end life', 2), ('life hardly', 2)]",,"[('extremely fast processor', 2), ('fast processor even', 2), ('processor even setting', 2), ('best cpu price', 2), ('cpu price range', 2), ('excellent cpu overclocks', 2), ('cpu overclocks easily', 2), ('intel core processor', 2), ('end life hardly', 2)]"
9,201110,"[('yes', 14), ('great', 6), ('overclocking', 4), ('cpu', 4), ('processor', 4), ('unbelievable', 2), ('potential', 2), ('expensive', 2), ('beast', 2), ('work', 2), ('old', 2), ('intel', 2), ('motherboard', 2), ('video', 2), ('card', 2), ('say', 2), ('already', 2), ('said', 2), ('maximum', 2), ('speed', 2), ('ability', 2), ('screw', 2), ('amazon', 2), ('liers', 2)]","[('yes yes', 12), ('unbelievable overclocking', 2), ('overclocking potential', 2), ('cpu works', 2), ('works great', 2), ('great old', 2), ('old intel', 2), ('intel motherboard', 2), ('processor video', 2), ('video card', 2), ('say already', 2), ('already said', 2), ('maximum speed', 2), ('speed overclocking', 2), ('overclocking ability', 2), ('great cpu', 2), ('cpu screw', 2), ('screw amazon', 2), ('amazon liers', 2), ('great processor', 2)]",,"[('yes yes yes', 10), ('unbelievable overclocking potential', 2), ('cpu works great', 2), ('works great old', 2), ('great old intel', 2), ('old intel motherboard', 2), ('processor video card', 2), ('say already said', 2), ('maximum speed overclocking', 2), ('speed overclocking ability', 2)]"
