,yyyymm,sentiment
0,201101,0.0
1,201102,0.0
2,201107,0.0
3,201109,-0.296
4,201111,0.0
5,201202,0.0
6,201204,0.0
7,201205,0.0
8,201207,0.4588
9,201208,0.0
10,201209,0.0
11,201211,0.9372
12,201212,0.983
13,201301,0.0
14,201302,0.9498
15,201303,0.7494
16,201304,0.7994
17,201305,0.9673
18,201306,0.9596
19,201307,0.7881
20,201309,0.5386
21,201310,0.25
22,201311,0.7149
23,201312,0.9744
24,201401,0.9994
25,201402,-0.7185
26,201403,0.1027
27,201404,0.9955
28,201405,0.9957
29,201406,0.888
30,201407,-0.6776
31,201408,0.9893
32,201409,0.999
33,201410,0.999
34,201411,0.9934
35,201412,0.9993
36,201501,0.9998
37,201502,0.9985
38,201503,0.9992
39,201504,0.9957
40,201505,0.9983
41,201506,0.9996
42,201507,0.9999
43,201508,1.0
44,201509,0.9996
45,201510,0.9994
46,201511,0.9998
47,201512,0.9999
48,201601,0.9999
49,201602,1.0
50,201603,0.9998
51,201604,1.0
52,201605,0.9998
53,201606,1.0
54,201607,1.0
55,201608,1.0
56,201609,1.0
57,201610,0.9999
58,201611,1.0
59,201612,0.9999
60,201701,1.0
61,201702,1.0
62,201703,1.0
63,201704,1.0
64,201705,1.0
65,201706,1.0
66,201707,1.0
67,201708,1.0
68,201709,1.0
69,201710,1.0
70,201711,1.0
71,201712,1.0
72,201801,1.0
73,201802,1.0
74,201803,1.0
75,201804,1.0
76,201805,1.0
77,201806,1.0
78,201807,1.0
79,201808,1.0
80,201809,1.0
81,201810,1.0
82,201811,1.0
83,201812,1.0
84,201901,1.0
85,201902,1.0
86,201903,1.0
87,201904,1.0
88,201905,1.0
89,201906,1.0
90,201907,1.0
91,201908,1.0
92,201909,1.0
93,201910,1.0
94,201911,1.0
95,201912,1.0
96,202001,1.0
97,202002,1.0
98,202003,1.0
99,202004,1.0
100,202005,1.0
101,202006,1.0
102,202007,1.0
103,202008,1.0
104,202009,1.0
105,202010,1.0
106,202011,1.0
