,yyyymm,length,word_count
0,201101,41,8
1,201102,61,11
2,201107,54,6
3,201109,106,18
4,201111,43,7
5,201202,75,12
6,201204,55,9
7,201205,32,6
8,201207,101,16
9,201208,31,5
10,201209,193,27
11,201211,560,106
12,201212,822,145
13,201301,59,9
14,201302,1116,186
15,201303,290,43
16,201304,207,37
17,201305,697,125
18,201306,1945,319
19,201307,611,114
20,201309,928,153
21,201310,332,53
22,201311,1153,193
23,201312,965,173
24,201401,12383,1986
25,201402,1525,259
26,201403,701,108
27,201404,3052,547
28,201405,3481,580
29,201406,5418,958
30,201407,5424,965
31,201408,7283,1191
32,201409,6621,1145
33,201410,6259,1048
34,201411,4935,886
35,201412,10923,1932
36,201501,15806,2755
37,201502,13327,2409
38,201503,10923,1973
39,201504,10488,1799
40,201505,12820,2207
41,201506,20519,3732
42,201507,30907,5594
43,201508,286372,41855
44,201509,22799,3397
45,201510,21139,3745
46,201511,24901,4472
47,201512,40836,7213
48,201601,44094,7599
49,201602,50699,8921
50,201603,34278,5935
51,201604,34731,6271
52,201605,37814,6860
53,201606,61130,10945
54,201607,91715,13324
55,201608,59109,10612
56,201609,50396,9124
57,201610,59653,10764
58,201611,52160,9353
59,201612,42760,7736
60,201701,604000,107172
61,201702,906254,160497
62,201703,1459412,261280
63,201704,967759,173492
64,201705,1185237,211548
65,201706,2147885,380752
66,201707,1212031,216727
67,201708,2810853,501881
68,201709,2398752,431873
69,201710,5546499,1001254
70,201711,2657433,475840
71,201712,2068461,371680
72,201801,3305507,576550
73,201802,1961394,347620
74,201803,1784732,317768
75,201804,2273896,404323
76,201805,2056276,366675
77,201806,2101096,374663
78,201807,2068913,370136
79,201808,1090450,194628
80,201809,1765275,314961
81,201810,5394747,961472
82,201811,3655445,655923
83,201812,2188980,390140
84,201901,2033197,363534
85,201902,1695992,305786
86,201903,1976697,355527
87,201904,1914904,342193
88,201905,2245162,395409
89,201906,2476382,437510
90,201907,3433267,606721
91,201908,2525199,444022
92,201909,2065985,363897
93,201910,2387554,418524
94,201911,2744557,480514
95,201912,2857089,501615
96,202001,2753124,484830
97,202002,2257167,399949
98,202003,1752103,309473
99,202004,2795260,496413
100,202005,5345918,962081
101,202006,3511689,626655
102,202007,3333856,597329
103,202008,3382872,601953
104,202009,3115777,555098
105,202010,844592,152414
106,202011,372083,67425
